country,year,total_vaccinations,total_vaccinations_per_hundred
Bahrain,337,38965,2.29
Bahrain,338,50071,2.94
Bahrain,339,50543,2.97
Bahrain,340,51556,3.03
Bahrain,341,53614,3.15
Bahrain,342,55014,3.23
Canada,328,297,0
Canada,329,1163,0
Canada,330,3683,0.01
Canada,331,7201,0.02
Canada,332,11174,0.03
Canada,333,11894,0.03
Canada,334,14492,0.04
Canada,335,20866,0.06
Canada,336,26287,0.07
Canada,337,35204,0.09
Canada,338,45563,0.12
Canada,340,48582,0.13
Canada,341,52179,0.14
Canada,342,58818,0.16
Chile,338,420,0
Chile,339,5190,0.03
Chile,340,8330,0.04
Chile,341,8641,0.05
China,333,1000000,0.07
Costa Rica,338,55,0
Denmark,341,4788,0.08
England,334,521594,0.93
Estonia,342,207,0.02
Germany,341,21566,0.03
Hungary,342,1094,0.01
Israel,334,7700,0.09
Israel,335,31400,0.36
Israel,336,74000,0.85
Israel,337,134500,1.55
Israel,338,208600,2.41
Israel,339,247300,2.86
Israel,340,279300,3.23
Israel,341,376200,4.35
Israel,342,491600,5.68
Lithuania,342,2270,0.08
Mexico,338,2924,0
Mexico,341,6824,0.01
Mexico,342,9579,0.01
Northern Ireland,327,3623,0.19
Northern Ireland,334,16068,0.85
Poland,342,2000,0.01
Portugal,342,4828,0.05
Russia,329,28500,0.02
Russia,336,52000,0.04
Scotland,327,18800,0.34
Scotland,334,56676,1.04
United Kingdom,334,616933,0.91
United Kingdom,338,800000,1.18
United States,333,272001,0.08
United States,334,556208,0.17
United States,335,614117,0.19
United States,337,1008025,0.3
United States,340,1944585,0.59
United States,342,2127143,0.64
Wales,327,7852,0.25
Wales,334,22595,0.72
World,328,297,0
World,329,29663,0
World,330,32183,0
World,331,35701,0
World,332,39674,0
World,333,1312395,0.02
World,334,2223833,0.03
World,335,2311816,0.03
World,336,2383337,0.03
World,337,2885627,0.04
World,338,3167658,0.04
World,339,3211600,0.04
World,340,4187332,0.05
World,341,4320452,0.06
World,342,4639603,0.06
