countriesAndTerritories,location,continent,population_year,population
Afghanistan,Afghanistan,Asia,2020,38928341
Albania,Albania,Europe,2020,2877800
Algeria,Algeria,Africa,2020,43851043
Andorra,Andorra,Europe,2020,77265
Angola,Angola,Africa,2020,32866268
Anguilla,Anguilla,North America,2020,15002
Antigua_and_Barbuda,Antigua and Barbuda,North America,2020,97928
Argentina,Argentina,South America,2020,45195777
Armenia,Armenia,Asia,2020,2963234
Aruba,Aruba,North America,2020,106766
Australia,Australia,Oceania,2020,25499881
Austria,Austria,Europe,2020,9006400
Azerbaijan,Azerbaijan,Asia,2020,10139175
Bahamas,Bahamas,North America,2020,393248
Bahrain,Bahrain,Asia,2020,1701583
Bangladesh,Bangladesh,Asia,2020,164689383
Barbados,Barbados,North America,2020,287371
Belarus,Belarus,Europe,2020,9449321
Belgium,Belgium,Europe,2020,11589616
Belize,Belize,North America,2020,397621
Benin,Benin,Africa,2020,12123198
Bermuda,Bermuda,North America,2020,62273
Bhutan,Bhutan,Asia,2020,771612
Bolivia,Bolivia,South America,2020,11673029
"Bonaire, Saint Eustatius and Saba",Bonaire Sint Eustatius and Saba,North America,2020,26221
Bosnia_and_Herzegovina,Bosnia and Herzegovina,Europe,2020,3280815
Botswana,Botswana,Africa,2020,2351625
Brazil,Brazil,South America,2020,212559409
British_Virgin_Islands,British Virgin Islands,North America,2020,30237
Brunei_Darussalam,Brunei,Asia,2020,437483
Bulgaria,Bulgaria,Europe,2020,6948445
Burkina_Faso,Burkina Faso,Africa,2020,20903278
Burundi,Burundi,Africa,2020,11890781
Cambodia,Cambodia,Asia,2020,16718971
Cameroon,Cameroon,Africa,2020,26545864
Canada,Canada,North America,2020,37742157
Cape_Verde,Cape Verde,Africa,2020,555988
Cases_on_an_international_conveyance_Japan,International,,,
Cayman_Islands,Cayman Islands,North America,2020,65720
Central_African_Republic,Central African Republic,Africa,2020,4829764
Chad,Chad,Africa,2020,16425859
Chile,Chile,South America,2020,19116209
China,China,Asia,2020,1439323774
Colombia,Colombia,South America,2020,50882884
Comoros,Comoros,Africa,2020,869595
Congo,Congo,Africa,2020,5518092
Costa_Rica,Costa Rica,North America,2020,5094114
Cote_dIvoire,Cote d'Ivoire,Africa,2020,26378275
Croatia,Croatia,Europe,2020,4105268
Cuba,Cuba,North America,2020,11326616
Curaçao,Curacao,North America,2020,164100
Cyprus,Cyprus,Europe,2020,875899
Czechia,Czech Republic,Europe,2020,10708982
Democratic_Republic_of_the_Congo,Democratic Republic of Congo,Africa,2020,89561404
Denmark,Denmark,Europe,2020,5792203
Djibouti,Djibouti,Africa,2020,988002
Dominica,Dominica,North America,2020,71991
Dominican_Republic,Dominican Republic,North America,2020,10847904
Ecuador,Ecuador,South America,2020,17643060
Egypt,Egypt,Africa,2020,102334403
El_Salvador,El Salvador,North America,2020,6486201
Equatorial_Guinea,Equatorial Guinea,Africa,2020,1402985
Eritrea,Eritrea,Africa,2020,3546427
Estonia,Estonia,Europe,2020,1326539
Eswatini,Swaziland,Africa,2020,1160164
Ethiopia,Ethiopia,Africa,2020,114963583
Falkland_Islands_(Malvinas),Falkland Islands,South America,2020,3483
Faroe_Islands,Faeroe Islands,Europe,2020,48865
Fiji,Fiji,Oceania,2020,896444
Finland,Finland,Europe,2020,5540718
France,France,Europe,2020,65273512
French_Polynesia,French Polynesia,Oceania,2020,280904
Gabon,Gabon,Africa,2020,2225728
Gambia,Gambia,Africa,2020,2416664
Georgia,Georgia,Asia,2020,3989175
Germany,Germany,Europe,2020,83783945
Ghana,Ghana,Africa,2020,31072945
Gibraltar,Gibraltar,Europe,2020,33691
Greece,Greece,Europe,2020,10423056
Greenland,Greenland,North America,2020,56772
Grenada,Grenada,North America,2020,112519
Guam,Guam,Oceania,2020,168783
Guatemala,Guatemala,North America,2020,17915567
Guernsey,Guernsey,Europe,2020,67052
Guinea,Guinea,Africa,2020,13132792
Guinea_Bissau,Guinea-Bissau,Africa,2020,1967998
Guyana,Guyana,South America,2020,786559
Haiti,Haiti,North America,2020,11402533
Holy_See,Vatican,Europe,2020,809
Honduras,Honduras,North America,2020,9904608
Hungary,Hungary,Europe,2020,9660350
Iceland,Iceland,Europe,2020,341250
India,India,Asia,2020,1380004385
Indonesia,Indonesia,Asia,2020,273523621
Iran,Iran,Asia,2020,83992953
Iraq,Iraq,Asia,2020,40222503
Ireland,Ireland,Europe,2020,4937796
Isle_of_Man,Isle of Man,Europe,2020,85032
Israel,Israel,Asia,2020,8655541
Italy,Italy,Europe,2020,60461828
Jamaica,Jamaica,North America,2020,2961161
Japan,Japan,Asia,2020,126476458
Jersey,Jersey,Europe,2020,101073
Jordan,Jordan,Asia,2020,10203140
Kazakhstan,Kazakhstan,Asia,2020,18776707
Kenya,Kenya,Africa,2020,53771300
Kosovo,Kosovo,Europe,2020,1932774
Kuwait,Kuwait,Asia,2020,4270563
Kyrgyzstan,Kyrgyzstan,Asia,2020,6524191
Laos,Laos,Asia,2020,7275556
Latvia,Latvia,Europe,2020,1886202
Lebanon,Lebanon,Asia,2020,6825442
Lesotho,Lesotho,Africa,2020,2142252
Liberia,Liberia,Africa,2020,5057677
Libya,Libya,Africa,2020,6871287
Liechtenstein,Liechtenstein,Europe,2020,38137
Lithuania,Lithuania,Europe,2020,2722291
Luxembourg,Luxembourg,Europe,2020,625976
Madagascar,Madagascar,Africa,2020,27691019
Malawi,Malawi,Africa,2020,19129955
Malaysia,Malaysia,Asia,2020,32365998
Maldives,Maldives,Asia,2020,540542
Mali,Mali,Africa,2020,20250834
Malta,Malta,Europe,2020,441539
Marshall_Islands,Marshall Islands,Oceania,2020,59194
Mauritania,Mauritania,Africa,2020,4649660
Mauritius,Mauritius,Africa,2020,1271767
Mexico,Mexico,North America,2020,128932753
