date,World,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Brazil,Brunei,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Congo,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Democratic Republic of Congo,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Guam,Guatemala,Guernsey,Guinea,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Liberia,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malaysia,Maldives,Malta,Mauritania,Mauritius,Mexico,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Myanmar,Namibia,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Lucia,Saint Vincent and the Grenadines,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Taiwan,Tanzania,Thailand,Timor,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vatican,Venezuela,Vietnam,Zambia,Zimbabwe
2019-12-31,27,0,,0,,,,,0,0,0,0,,0,,,0,0,,,,,,0,,,,0,,0,,,,,,27,,,,,0,,,0,,0,,0,0,0,,,,0,,,,0,0,,,,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,0,,0,0,,0,,,,,,0,,,0,,,0,0,0,,0,,,,,0,,0,,,,,,,0,0,,,0,,,0,0,0,0,,,,,,0,,,0,0,0,,,,0,,,,,0,,,,,0,0,0,,,,0,0,0,,0,,,,,,,,0,0,0,,,,,0,,
2020-01-01,27,0,,0,,,,,0,0,0,0,,0,,,0,0,,,,,,0,,,,0,,0,,,,,,27,,,,,0,,,0,,0,,0,0,0,,,,0,,,,0,0,,,,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,0,,0,0,,0,,,,,,0,,,0,,,0,0,0,,0,,,,,0,,0,,,,,,,0,0,,,0,,,0,0,0,0,,,,,,0,,,0,0,0,,,,0,,,,,0,,,,,0,0,0,,,,0,0,0,,0,,,,,,,,0,0,0,,,,,0,,
2020-01-02,27,0,,0,,,,,0,0,0,0,,0,,,0,0,,,,,,0,,,,0,,0,,,,,,27,,,,,0,,,0,,0,,0,0,0,,,,0,,,,0,0,,,,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,0,,0,0,,0,,,,,,0,,,0,,,0,0,0,,0,,,,,0,,0,,,,,,,0,0,,,0,,,0,0,0,0,,,,,,0,,,0,0,0,,,,0,,,,,0,,,,,0,0,0,,,,0,0,0,,0,,,,,,,,0,0,0,,,,,0,,
2020-01-03,44,0,,0,,,,,0,0,0,0,,0,,,0,0,,,,,,0,,,,0,,0,,,,,,44,,,,,0,,,0,,0,,0,0,0,,,,0,,,,0,0,,,,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,0,,0,0,,0,,,,,,0,,,0,,,0,0,0,,0,,,,,0,,0,,,,,,,0,0,,,0,,,0,0,0,0,,,,,,0,,,0,0,0,,,,0,,,,,0,,,,,0,0,0,,,,0,0,0,,0,,,,,,,,0,0,0,,,,,0,,
2020-01-04,44,0,,0,,,,,0,0,0,0,,0,,,0,0,,,,,,0,,,,0,,0,,,,,,44,,,,,0,,,0,,0,,0,0,0,,,,0,,,,0,0,,,,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,0,,0,0,,0,,,,,,0,,,0,,,0,0,0,,0,,,,,0,,0,,,,,,,0,0,,,0,,,0,0,0,0,,,,,,0,,,0,0,0,,,,0,,,,,0,,,,,0,0,0,,,,0,0,0,,0,,,,,,,,0,0,0,,,,,0,,
2020-01-05,59,0,,0,,,,,0,0,0,0,,0,,,0,0,,,,,,0,,,,0,,0,,,,,,59,,,,,0,,,0,,0,,0,0,0,,,,0,,,,0,0,,,,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,0,,0,0,,0,,,,,,0,,,0,,,0,0,0,,0,,,,,0,,0,,,,,,,0,0,,,0,,,0,0,0,0,,,,,,0,,,0,0,0,,,,0,,,,,0,,,,,0,0,0,,,,0,0,0,,0,,,,,,,,0,0,0,,,,,0,,
2020-01-06,59,0,,0,,,,,0,0,0,0,,0,,,0,0,,,,,,0,,,,0,,0,,,,,,59,,,,,0,,,0,,0,,0,0,0,,,,0,,,,0,0,,,,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,0,,0,0,,0,,,,,,0,,,0,,,0,0,0,,0,,,,,0,,0,,,,,,,0,0,,,0,,,0,0,0,0,,,,,,0,,,0,0,0,,,,0,,,,,0,,,,,0,0,0,,,,0,0,0,,0,,,,,,,,0,0,0,,,,,0,,
2020-01-07,59,0,,0,,,,,0,0,0,0,,0,,,0,0,,,,,,0,,,,0,,0,,,,,,59,,,,,0,,,0,,0,,0,0,0,,,,0,,,,0,0,,,,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,0,,0,0,,0,,,,,,0,,,0,,,0,0,0,,0,,,,,0,,0,,,,,,,0,0,,,0,,,0,0,0,0,,,,,,0,,,0,0,0,,,,0,,,,,0,,,,,0,0,0,,,,0,0,0,,0,,,,,,,,0,0,0,,,,,0,,
2020-01-08,59,0,,0,,,,,0,0,0,0,,0,,,0,0,,,,,,0,,,,0,,0,,,,,,59,,,,,0,,,0,,0,,0,0,0,,,,0,,,,0,0,,,,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,0,,0,0,,0,,,,,,0,,,0,,,0,0,0,,0,,,,,0,,0,,,,,,,0,0,,,0,,,0,0,0,0,,,,,,0,,,0,0,0,,,,0,,,,,0,,,,,0,0,0,,,,0,0,0,,0,,,,,,,,0,0,0,,,,,0,,
2020-01-09,59,0,,0,,,,,0,0,0,0,,0,,,0,0,,,,,,0,,,,0,,0,,,,,,59,,,,,0,,,0,,0,,0,0,0,,,,0,,,,0,0,,,,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,0,,0,0,,0,,,,,,0,,,0,,,0,0,0,,0,,,,,0,,0,,,,,,,0,0,,,0,,,0,0,0,0,,,,,,0,,,0,0,0,,,,0,,,,,0,,,,,0,0,0,,,,0,0,0,,0,,,,,,,,0,0,0,,,,,0,,
