location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Russia,2020-12-15,Sputnik V,http://government.ru/news/41122/,28500,28500,
Russia,2020-12-22,Sputnik V,https://tass.com/society/1238521,52000,52000,
Russia,2021-01-02,Sputnik V,https://tass.com/society/1241979,800000,800000,
Russia,2021-01-13,Sputnik V,https://twitter.com/redouad/status/1350030539944820736,1000000,1000000,
Russia,2021-03-02,"Sputnik V, EpiVacCorona",https://gogov.ru/articles/covid-v-stats,5249831,4158334,1091497
Russia,2021-03-03,"Sputnik V, EpiVacCorona",https://gogov.ru/articles/covid-v-stats,5489342,4287423,1201919
Russia,2021-03-04,"Sputnik V, EpiVacCorona",https://gogov.ru/articles/covid-v-stats,6010744,4701175,1309569
Russia,2021-03-05,"Sputnik V, EpiVacCorona",https://gogov.ru/articles/covid-v-stats,6301854,4908178,1393676
Russia,2021-03-06,"Sputnik V, EpiVacCorona",https://gogov.ru/articles/covid-v-stats,6583873,5082127,1501746
Russia,2021-03-07,"Sputnik V, EpiVacCorona",https://gogov.ru/articles/covid-v-stats,6655487,5128138,1527349
Russia,2021-03-08,"Sputnik V, EpiVacCorona",https://gogov.ru/articles/covid-v-stats,6669466,5136605,1532861
Russia,2021-03-09,"Sputnik V, EpiVacCorona",https://gogov.ru/articles/covid-v-stats,6694349,5149589,1544760
Russia,2021-03-10,"Sputnik V, EpiVacCorona",https://gogov.ru/articles/covid-v-stats,7048129,5272651,1775478
Russia,2021-03-11,"Sputnik V, EpiVacCorona",https://gogov.ru/articles/covid-v-stats,7273933,5366009,1907924
Russia,2021-03-17,"Sputnik V, EpiVacCorona",https://gogov.ru/articles/covid-v-stats,7818009,5379359,2438650
Russia,2021-03-18,"Sputnik V, EpiVacCorona",https://gogov.ru/articles/covid-v-stats,7909438,5431048,2478390
Russia,2021-03-19,"Sputnik V, EpiVacCorona",https://gogov.ru/articles/covid-v-stats,8185944,5544777,2641167
Russia,2021-03-20,"Sputnik V, EpiVacCorona",https://gogov.ru/articles/covid-v-stats,8306498,5595893,2710605
