location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Serbia,2021-01-08,"Pfizer/BioNTech, Sinopharm, Sputnik V",https://www.zdravlje.gov.rs/vest/353217/do-sada-vakcinu-pritiv-korone-primilo-vise-od-7000-ljudi.php,7000,,
Serbia,2021-01-10,"Pfizer/BioNTech, Sinopharm, Sputnik V",https://www.srbija.gov.rs/vest/en/166035/preconditions-for-beginning-of-mass-vaccination-provided.php,9300,,
Serbia,2021-01-14,"Pfizer/BioNTech, Sinopharm, Sputnik V",https://www.srbija.gov.rs/vest/en/166230/18136-citizens-vaccinated-to-date.php,18136,,
Serbia,2021-01-20,"Pfizer/BioNTech, Sinopharm, Sputnik V",http://tanjug.rs/full-view.aspx?izb=623820,44611,,
Serbia,2021-01-21,"Pfizer/BioNTech, Sinopharm, Sputnik V",https://www.blic.rs/vesti/drustvo/saznajemo-u-srbiji-do-veceras-vakcinisano-ukupno-84832-osobe/rqk9z4m,84832,,
Serbia,2021-01-22,"Pfizer/BioNTech, Sinopharm, Sputnik V",https://www.srbija.gov.rs/vest/514113/vakcinacija-u-srbiji-krenula-veoma-dobro.php,119711,,
Serbia,2021-01-23,"Pfizer/BioNTech, Sinopharm, Sputnik V",https://www.telegraf.rs/vesti/srbija/3292522-u-srbiji-vakcinisano-163355-osoba-kol-centri-rade-punom-parom-vakcinu-dobilo-jos-8000-prosvetara,163355,,
Serbia,2021-01-24,"Pfizer/BioNTech, Sinopharm, Sputnik V",https://www.rts.rs/page/stories/sr/%D0%9A%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81/story/3134/koronavirus-u-srbiji/4232328/korona-srbija-podaci-zarazeni,217800,,
Serbia,2021-01-25,"Pfizer/BioNTech, Sinopharm, Sputnik V",https://www.danas.rs/drustvo/rts-do-sada-vakcinisan-256-521-gradjanin-protiv-korona-virusa-u-srbiji/,256521,,
Serbia,2021-01-26,"Pfizer/BioNTech, Sinopharm, Sputnik V",https://www.aa.com.tr/ba/balkan/vu%C4%8Di%C4%87-u-srbiji-protiv-koronavirusa-vakcinisano-skoro-320000-ljudi/2123908,319504,,
Serbia,2021-01-27,"Pfizer/BioNTech, Sinopharm, Sputnik V",https://www.b92.net/eng/news/society.php?yyyy=2021&mm=01&dd=27&nav_id=110282,361830,,
Serbia,2021-01-28,"Pfizer/BioNTech, Sinopharm, Sputnik V",http://www.politika.rs/sr/clanak/471786/U-Srbiji-vakcinisano-vise-od-400-hiljada-gradana,401556,,
Serbia,2021-01-29,"Pfizer/BioNTech, Sinopharm, Sputnik V",https://www.021.rs/story/Info/Srbija/264881/U-Srbiji-do-sada-vakcinisano-430759-gradjana.html,430759,,
Serbia,2021-01-30,"Pfizer/BioNTech, Sinopharm, Sputnik V",https://www.srbija.gov.rs/vest/en/166989/serbia-second-in-europe-by-number-of-covid-immunisations-per-million-people.php,437380,,
Serbia,2021-02-02,"Pfizer/BioNTech, Sinopharm, Sputnik V",https://www.kurir.rs/vesti/drustvo/3617183/u-srbiji-vakcinisano-skoro-pola-miliona-gradjana-i-dalje-u-regionu-ubedljivo-prvi-drugi-u-evropi,495964,,
Serbia,2021-02-03,"Pfizer/BioNTech, Sinopharm, Sputnik V",https://www.danas.rs/drustvo/u-srbiji-do-sada-vakcinisane-513-652-osobe/,513652,,
Serbia,2021-02-04,"Pfizer/BioNTech, Sinopharm, Sputnik V",https://www.danas.rs/drustvo/vakcinu-dobilo-526-930-gradjana-nis-i-dalje-vodeci-u-zemlji/,526930,,
