location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Turkey,2021-01-13,Sinovac,https://covid19asi.saglik.gov.tr/,0,,
Turkey,2021-01-14,Sinovac,https://covid19asi.saglik.gov.tr/,279452,,
Turkey,2021-01-15,Sinovac,https://covid19asi.saglik.gov.tr/,616652,,
Turkey,2021-01-16,Sinovac,https://covid19asi.saglik.gov.tr/,676903,,
Turkey,2021-01-17,Sinovac,https://covid19asi.saglik.gov.tr/,706451,,
Turkey,2021-01-18,Sinovac,https://covid19asi.saglik.gov.tr/,832412,,
Turkey,2021-01-19,Sinovac,https://covid19asi.saglik.gov.tr/,950635,,
Turkey,2021-01-20,Sinovac,https://covid19asi.saglik.gov.tr/,1052493,,
Turkey,2021-01-21,Sinovac,https://covid19asi.saglik.gov.tr/,1120258,,
Turkey,2021-01-22,Sinovac,https://covid19asi.saglik.gov.tr/,1202212,,
Turkey,2021-01-23,Sinovac,https://covid19asi.saglik.gov.tr/,1226883,,
Turkey,2021-01-24,Sinovac,https://covid19asi.saglik.gov.tr/,1244653,,
Turkey,2021-01-25,Sinovac,https://covid19asi.saglik.gov.tr/,1302753,,
Turkey,2021-01-26,Sinovac,https://covid19asi.saglik.gov.tr/,1410273,,
Turkey,2021-01-27,Sinovac,https://covid19asi.saglik.gov.tr/,1522580,,
Turkey,2021-01-28,Sinovac,https://covid19asi.saglik.gov.tr/,1697575,,
Turkey,2021-01-29,Sinovac,https://covid19asi.saglik.gov.tr/,1928351,,
Turkey,2021-01-30,Sinovac,https://covid19asi.saglik.gov.tr/,1960860,,
Turkey,2021-01-31,Sinovac,https://covid19asi.saglik.gov.tr/,1986237,,
Turkey,2021-02-01,Sinovac,https://covid19asi.saglik.gov.tr/,2136299,,
Turkey,2021-02-02,Sinovac,https://covid19asi.saglik.gov.tr/,2229233,,
Turkey,2021-02-03,Sinovac,https://covid19asi.saglik.gov.tr/,2343280,,
Turkey,2021-02-04,Sinovac,https://covid19asi.saglik.gov.tr/,2500806,,
Turkey,2021-02-05,Sinovac,https://covid19asi.saglik.gov.tr/,2559802,,
Turkey,2021-02-06,Sinovac,https://covid19asi.saglik.gov.tr/,2601717,,
Turkey,2021-02-07,Sinovac,https://covid19asi.saglik.gov.tr/,2610496,,
Turkey,2021-02-08,Sinovac,https://covid19asi.saglik.gov.tr/,2664203,,
Turkey,2021-02-09,Sinovac,https://covid19asi.saglik.gov.tr/,2732709,,
Turkey,2021-02-10,Sinovac,https://covid19asi.saglik.gov.tr/,2795116,,
Turkey,2021-02-11,Sinovac,https://covid19asi.saglik.gov.tr/,2846125,,
Turkey,2021-02-12,Sinovac,https://covid19asi.saglik.gov.tr/,3404354,3067822,336532
