location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Zimbabwe,2021-02-18,Sinopharm/Beijing,https://www.reuters.com/article/us-health-coronavirus-zimbabwe/zimbabwe-starts-covid-19-vaccinations-vice-president-gets-first-shot-idUSKBN2AI1KJ,0,0,
Zimbabwe,2021-02-22,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1363938937144631298,1314,1314,
Zimbabwe,2021-02-23,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1364298653246967808,4041,4041,
Zimbabwe,2021-02-24,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1364676207552454656,7872,7872,
Zimbabwe,2021-02-25,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1365020696427048962,11007,11007,
Zimbabwe,2021-02-26,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1365400469422673922,12579,12579,
Zimbabwe,2021-02-27,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1365740267593170946,15705,15705,
Zimbabwe,2021-02-28,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1366095877987848197/photo/1,18843,18843,
Zimbabwe,2021-03-01,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1366477055660072964,21456,21456,
Zimbabwe,2021-03-02,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1366851011537752066,25077,25077,
Zimbabwe,2021-03-03,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1367208409439821831,27970,27970,
Zimbabwe,2021-03-04,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1367546700680855552,30658,30658,
Zimbabwe,2021-03-05,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1367917461056720901,31325,31325,
Zimbabwe,2021-03-06,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1368309157661708288,32014,32014,
Zimbabwe,2021-03-07,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1368666661310578694,32240,32240,
Zimbabwe,2021-03-08,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1369000021153243136,35518,35518,
Zimbabwe,2021-03-09,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1369360555413278722,35761,35761,
Zimbabwe,2021-03-10,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1369721692378050562,35901,35901,
Zimbabwe,2021-03-11,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1370088320139677700,36019,36019,
Zimbabwe,2021-03-12,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1370448161106448389,36283,36283,
Zimbabwe,2021-03-13,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1370813862086332419,36359,36359,
Zimbabwe,2021-03-14,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1371179269079056386,36359,36359,
Zimbabwe,2021-03-15,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1371537158943690754,37660,37660,
Zimbabwe,2021-03-16,Sinopharm/Beijing,https://twitter.com/MoHCCZim/status/1371917996193689606,39550,39550,
