location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Maldives,2021-02-02,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1356649067024183299,880,880,0
Maldives,2021-02-03,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1357011756833456135,1578,1578,0
Maldives,2021-02-04,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1357374641090789377,3204,3204,0
Maldives,2021-02-05,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1357736076589342720,4269,4269,0
Maldives,2021-02-06,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1358098454896136195,6854,6854,0
Maldives,2021-02-07,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1358464324738707459,9752,9752,0
Maldives,2021-02-08,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1358823392561033223,12934,12934,0
Maldives,2021-02-09,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1359185795861602304,16251,16251,0
Maldives,2021-02-10,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1359548125615181826,20161,20161,0
Maldives,2021-02-11,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1359910513426243584,25327,25327,0
Maldives,2021-02-12,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1360273096108892160,27367,27367,0
Maldives,2021-02-13,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1360636939469266944,33106,33106,0
Maldives,2021-02-14,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1360999555999875072,38591,38591,0
Maldives,2021-02-15,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1361362658117750786,43817,43817,0
Maldives,2021-02-16,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1361722717821632515,50047,50047,0
Maldives,2021-02-17,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1362087215065612295,56218,56218,0
Maldives,2021-02-18,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1362449026935881729,64048,64048,0
Maldives,2021-02-19,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1362470543723790336,64048,64048,0
Maldives,2021-02-20,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1363176863099715584,70009,70009,0
Maldives,2021-02-21,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1363547822302384137,75013,75013,0
Maldives,2021-02-22,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1363901092355006471,80159,80159,0
Maldives,2021-02-23,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1364262813653487623,85110,85110,0
Maldives,2021-02-24,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1364621580018593799,90865,90865,0
Maldives,2021-02-25,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1365003354817122307,98311,98311,0
Maldives,2021-02-26,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1365351011389493256,99419,99419,0
Maldives,2021-02-27,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1365710323005747205,105492,105492,0
Maldives,2021-02-28,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1366073931422183430,111415,111415,0
Maldives,2021-03-01,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1366436605741981699,117115,117115,0
Maldives,2021-03-02,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1366798802603155457,123665,123665,0
Maldives,2021-03-03,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1367158279718252545,129424,129424,0
Maldives,2021-03-04,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1367524905370202118,137124,137124,0
Maldives,2021-03-05,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1367883045831839748,138827,138827,0
Maldives,2021-03-06,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1368247419624914948,145768,145768,0
Maldives,2021-03-07,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1368611069422354440,151643,151643,0
Maldives,2021-03-08,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1368970090503413765,157813,157813,0
Maldives,2021-03-09,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1369336807326941190,165675,165675,0
Maldives,2021-03-10,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1369702549054517248,175456,175456,0
Maldives,2021-03-11,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1370061165888409605,186930,186930,0
Maldives,2021-03-12,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1370419731929436162,188436,188436,0
Maldives,2021-03-13,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1370784892825563140,198206,198206,0
Maldives,2021-03-14,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1371153339115839495,206114,206114,0
Maldives,2021-03-15,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1371507306538659840,212711,212711,0
Maldives,2021-03-16,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1371869526321737730,214486,214486,0
Maldives,2021-03-17,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1372234519085002753,215852,215852,0
Maldives,2021-03-18,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1372599360995913729,217597,217597,0
Maldives,2021-03-19,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1372956436846755847,218046,218046,0
Maldives,2021-03-20,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1373321135975202819,218645,218645,0
Maldives,2021-03-21,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1373685000504279044,218912,218912,0
Maldives,2021-03-22,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1374046146587418630,220768,220768,0
Maldives,2021-03-23,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1374419673261830144,222970,222970,0
Maldives,2021-03-24,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1374776952796643341,224979,224979,0
Maldives,2021-03-25,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1375132628068798464,227423,227423,0
Maldives,2021-03-26,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1375492849450422278,227696,227696,0
Maldives,2021-03-27,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1375856137849856003,230130,230130,0
Maldives,2021-03-28,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1376221896581148676,232175,232175,0
Maldives,2021-03-29,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1376584073519398912,233875,233875,0
Maldives,2021-03-30,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1376946234313740289,235682,235682,0
Maldives,2021-03-31,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1377309854155468808,237716,237716,0
Maldives,2021-04-01,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1377684021711233025,240773,240773,0
Maldives,2021-04-02,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1378032701614133248,241127,241127,0
Maldives,2021-04-03,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1378395561506729987,245470,243749,1721
Maldives,2021-04-04,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1378760475136065537,250633,246896,3737
Maldives,2021-04-05,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1379123879285678084,256892,251139,5753
Maldives,2021-04-06,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1379494654308016132,263832,255881,7951
Maldives,2021-04-07,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1379996506330046474,270854,260285,10569
Maldives,2021-04-08,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1380210035133796352,280186,265235,14951
Maldives,2021-04-09,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1380578774912135172,282926,267795,15131
Maldives,2021-04-10,Oxford/AstraZeneca,https://twitter.com/HPA_MV/status/1380938448425512963,283753,268459,15294
