location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Brazil,2021-01-16,Sinovac,https://g1.globo.com/sp/sao-paulo/noticia/2021/01/17/apos-aprovacao-da-anvisa-governo-de-sp-aplica-1a-dose-da-coronavac-antes-do-inicio-do-plano-nacional-de-vacinacao.ghtml,0,0,
Brazil,2021-01-17,Sinovac,https://g1.globo.com/sp/sao-paulo/noticia/2021/01/17/apos-aprovacao-da-anvisa-governo-de-sp-aplica-1a-dose-da-coronavac-antes-do-inicio-do-plano-nacional-de-vacinacao.ghtml,112,112,
Brazil,2021-01-18,Sinovac,https://coronavirusbra1.github.io/,1109,1109,
Brazil,2021-01-19,Sinovac,https://coronavirusbra1.github.io/,11470,11470,
Brazil,2021-01-20,Sinovac,https://coronavirusbra1.github.io/,28543,28543,
Brazil,2021-01-21,Sinovac,https://coronavirusbra1.github.io/,136519,136519,
Brazil,2021-01-22,Sinovac,https://coronavirusbra1.github.io/,245877,245877,
Brazil,2021-01-23,Sinovac,https://coronavirusbra1.github.io/,537774,537774,
Brazil,2021-01-24,Sinovac,https://coronavirusbra1.github.io/,604722,604722,
Brazil,2021-01-25,Sinovac,https://coronavirusbra1.github.io/,700608,700608,
Brazil,2021-01-26,Sinovac,https://coronavirusbra1.github.io/,848883,848883,
Brazil,2021-01-27,Sinovac,https://coronavirusbra1.github.io/,1129885,1129885,
Brazil,2021-01-28,Sinovac,https://coronavirusbra1.github.io/,1450900,1450900,
Brazil,2021-01-29,Sinovac,https://coronavirusbra1.github.io/,1668032,1656851,
