location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Bulgaria,2020-12-29,Pfizer/BioNTech,https://www.dnes.bg/politika/2020/12/29/prof-angelov-1719-vaksinirani-do-momenta-ima-vse-poveche-jelaeshti.474821,1719,1719,
Bulgaria,2020-12-30,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,4608,4608,
Bulgaria,2021-01-01,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,4739,4739,
Bulgaria,2021-01-05,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,5448,5448,
Bulgaria,2021-01-06,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,7913,7913,
Bulgaria,2021-01-07,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,11117,11117,
Bulgaria,2021-01-08,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,13355,13355,
Bulgaria,2021-01-09,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,13473,13473,
Bulgaria,2021-01-11,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,14161,14161,
Bulgaria,2021-01-12,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,15780,15780,
Bulgaria,2021-01-13,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,17038,17038,
Bulgaria,2021-01-14,Pfizer/BioNTech,https://coronavirus.bg/bg/statistika,17686,17686,
Bulgaria,2021-01-15,"Moderna, Pfizer/BioNTech",https://coronavirus.bg/bg/statistika,18126,18126,
Bulgaria,2021-01-16,"Moderna, Pfizer/BioNTech",https://coronavirus.bg/bg/statistika,18332,18332,
Bulgaria,2021-01-17,"Moderna, Pfizer/BioNTech",https://coronavirus.bg/bg/statistika,18453,18453,
Bulgaria,2021-01-18,"Moderna, Pfizer/BioNTech",https://coronavirus.bg/bg/statistika,19638,18524,1114
Bulgaria,2021-01-19,"Moderna, Pfizer/BioNTech",https://coronavirus.bg/bg/statistika,22226,19058,3168
Bulgaria,2021-01-20,"Moderna, Pfizer/BioNTech",https://coronavirus.bg/bg/statistika,24127,19834,4293
Bulgaria,2021-01-21,"Moderna, Pfizer/BioNTech",https://coronavirus.bg/bg/statistika,25251,20719,4532
Bulgaria,2021-01-22,"Moderna, Pfizer/BioNTech",https://coronavirus.bg/bg/statistika,26101,21496,4605
Bulgaria,2021-01-23,"Moderna, Pfizer/BioNTech",https://coronavirus.bg/bg/statistika,26119,21509,4610
Bulgaria,2021-01-24,"Moderna, Pfizer/BioNTech",https://coronavirus.bg/bg/statistika,26143,21533,4610
Bulgaria,2021-01-25,"Moderna, Pfizer/BioNTech",https://coronavirus.bg/bg/statistika,26798,22129,4669
Bulgaria,2021-01-26,"Moderna, Pfizer/BioNTech",https://coronavirus.bg/bg/statistika,29122,23667,5455
Bulgaria,2021-01-27,"Moderna, Pfizer/BioNTech",https://coronavirus.bg/bg/statistika,32917,25245,7672
