location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Uganda,2021-03-09,Oxford/AstraZeneca,https://www.theeastafrican.co.ke/tea/science-health/uganda-starts-covid-19-vaccination-3318966,0,0,
Uganda,2021-03-12,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1370986251768057858,1015,1015,
Uganda,2021-03-13,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1371109215234883585,1215,1215,
Uganda,2021-03-14,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1371519873495498753,1215,1215,
Uganda,2021-03-15,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1371872716467363842,2841,2841,
Uganda,2021-03-16,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1372222013985730565,4684,4684,
Uganda,2021-03-17,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1372611219761344512,7920,7920,
Uganda,2021-03-18,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1372978890373750786,13027,13027,
Uganda,2021-03-19,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1373565467709833216,17543,17543,
Uganda,2021-03-20,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1373891407241445376,19008,19008,
Uganda,2021-03-21,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1374255336253747214,23527,23527,
Uganda,2021-03-22,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1374405069110538252,25860,25860,
Uganda,2021-03-23,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1375003565761171456,32526,32526,
Uganda,2021-03-24,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1375395333790896131,46444,46444,
Uganda,2021-03-25,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1375813107658932226,46664,46664,
Uganda,2021-03-26,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1376244078506020866,46664,46664,
Uganda,2021-03-27,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1376391640890417153,60139,60139,
Uganda,2021-03-28,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1376829651394387974,69701,69701,
Uganda,2021-03-29,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1377162131599097858,80836,80836,
Uganda,2021-03-30,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1377570056863895552,90196,90196,
Uganda,2021-04-04,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1379370490654031876,129634,129634,
Uganda,2021-04-05,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1379772136051605506,138064,138064,
Uganda,2021-04-06,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1380077606314385411,144025,144025,
Uganda,2021-04-07,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1380417805321973764/photo/1,163491,163491,
Uganda,2021-04-08,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1380788411582312448,176469,176469,
Uganda,2021-04-10,Oxford/AstraZeneca,https://twitter.com/MinofHealthUG/status/1381541903833964545,180969,180969,
