location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Seychelles,2021-01-09,Sinopharm/Beijing,http://www.nation.sc/articles/7577/covid-19-vaccination-programme-some-7000-people-have-taken-their-first-doses-so-far,0,0,0
Seychelles,2021-01-13,Sinopharm/Beijing,http://www.nation.sc/articles/7577/covid-19-vaccination-programme-some-7000-people-have-taken-their-first-doses-so-far,2000,2000,0
Seychelles,2021-01-15,Sinopharm/Beijing,http://www.nation.sc/articles/7577/covid-19-vaccination-programme-some-7000-people-have-taken-their-first-doses-so-far,4000,4000,0
Seychelles,2021-01-16,Sinopharm/Beijing,http://www.nation.sc/articles/7577/covid-19-vaccination-programme-some-7000-people-have-taken-their-first-doses-so-far,7000,7000,0
Seychelles,2021-01-19,Sinopharm/Beijing,http://www.health.gov.sc/wp-content/uploads/COVID-19-VACCINATION-UPTAKE-REPORT_20th-January.pdf,10976,10976,0
Seychelles,2021-01-20,Sinopharm/Beijing,http://www.health.gov.sc/wp-content/uploads/COVID-19-VACCINATION-UPTAKE-REPORT_21st-January-2021-1.pdf,13163,13163,0
Seychelles,2021-01-22,Sinopharm/Beijing,https://www.facebook.com/mohseychellesofficial/posts/1637457353122056,16890,16890,0
Seychelles,2021-01-23,Sinopharm/Beijing,http://www.health.gov.sc/wp-content/uploads/COVID-19-VACCINATION-UPTAKE-REPORT_-January-23rd.pdf,18353,18353,0
Seychelles,2021-01-25,Sinopharm/Beijing,http://www.health.gov.sc/wp-content/uploads/COVID-19-VACCINATION-UPTAKE-REPORT_24-and-25-January-2021.pdf,19889,19889,0
Seychelles,2021-01-26,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.health.gov.sc/wp-content/uploads/COVID-19-VACCINATION-UPTAKE-REPORT_26TH-January-2021.pdf,22712,22712,0
Seychelles,2021-01-27,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.health.gov.sc/wp-content/uploads/COVID-19-VACCINATION-UPTAKE-REPORT_27TH-January-2021.pdf,25587,25587,0
Seychelles,2021-01-28,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.health.gov.sc/wp-content/uploads/COVID-19-VACCINATION-UPTAKE-REPORT_28TH-January-2021.pdf,28779,28779,0
Seychelles,2021-01-29,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.health.gov.sc/wp-content/uploads/COVID-19-VACCINATION-UPTAKE-REPORT_29TH-January-2021.pdf,30861,30861,0
Seychelles,2021-02-01,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/1647095832158208,35079,35079,0
Seychelles,2021-02-02,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/1648063058728152,36284,36284,0
Seychelles,2021-02-03,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/1648953545305770,37092,37087,5
Seychelles,2021-02-06,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/1651838715017253,39175,37589,1586
Seychelles,2021-02-08,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/1653550278179430,41694,37714,3980
Seychelles,2021-02-09,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/1654367171431074,44423,37723,6700
Seychelles,2021-02-10,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/1655404677993990,48061,37726,10335
Seychelles,2021-02-11,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/1656020591265732,51819,37952,13867
Seychelles,2021-02-13,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/1659483914252733,55980,41799,14181
Seychelles,2021-02-15,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/1660508820816909,58249,41808,16441
Seychelles,2021-02-16,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/1660831340784657,59991,41815,18176
Seychelles,2021-02-17,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/1661847054016419,61351,41839,19512
Seychelles,2021-02-18,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1662851677249290/1662850943916030,63286,42621,20665
Seychelles,2021-02-19,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1663765987157859/1663765943824530,65060,43461,21599
Seychelles,2021-02-21,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1665603410307450/1665603310307460/,65576,43977,21599
Seychelles,2021-02-23,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/1667419836792474,70568,47188,23380
Seychelles,2021-02-25,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1669100703291054/1669100633291061/,75096,51577,23519
Seychelles,2021-02-27,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1671940579673733/1671940493007075,79438,55889,23549
Seychelles,2021-03-01,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1672941029573688/1672940869573704/,80131,55901,24230
Seychelles,2021-03-03,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1674652042735920/1674651986069259/,80863,56261,24602
Seychelles,2021-03-04,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1675550692646055/1675550642646060,81715,57095,24620
Seychelles,2021-03-08,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1679349568932834/1679349362266188/,84468,57901,26567
Seychelles,2021-03-10,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1681297845404673/1681297565404701/,87333,60439,26894
Seychelles,2021-03-11,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1682413525293105/1682413471959777/,88106,61070,27036
Seychelles,2021-03-15,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1686393231561801/1686392481561876/,89509,62067,27442
Seychelles,2021-03-18,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1689372777930513/1689372554597202/,90150,62457,27693
Seychelles,2021-03-23,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1694985357369255/1694984804035977/,94472,63100,31372
Seychelles,2021-03-24,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1696529620548162/1696528250548299/,96523,63132,33391
Seychelles,2021-03-30,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1701008690100255/1701008160100308,100552,63686,36866
Seychelles,2021-04-01,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1702967219904402/1702967099904414/,102080,64123,37957
Seychelles,2021-04-06,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1708499119351212/1708497929351331,103968,64508,39460
Seychelles,2021-04-10,"Oxford/AstraZeneca, Sinopharm/Beijing",https://www.facebook.com/mohseychellesofficial/photos/pcb.1712700835597707/1712700562264401/,108749,65490,43259
