location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Oman,2020-12-28,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1343855386563108864,1717,1717,
Oman,2020-12-29,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1344257961061974018,3363,3363,
Oman,2020-12-30,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1344586383273422848,5043,5043,
Oman,2020-12-31,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1344938163224129538,6516,6516,
Oman,2021-01-02,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1345653596881301505,7231,7231,
Oman,2021-01-03,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1346021869837836294,8826,8826,
Oman,2021-01-04,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1346366199718932480,10728,10728,
Oman,2021-01-05,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1346730906841710592,12751,12751,
Oman,2021-01-06,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1347101384290799618,14005,14005,
Oman,2021-01-07,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1347450057151410177,14911,14911,
Oman,2021-01-08,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1347813396448686081,14980,14980,
Oman,2021-01-09,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1348185867773476867,15023,15023,
Oman,2021-01-10,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1348541465841061888/photo/1,15907,15907,
Oman,2021-01-11,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1348903015416287233,18287,18287,
Oman,2021-01-12,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1349258028709781507,20649,20649,
Oman,2021-01-13,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1349582771971350531,22749,22749,
Oman,2021-01-14,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1349991401686241280,24204,24204,
Oman,2021-01-16,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1350752004906377217,24773,24773,
Oman,2021-01-17,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1351110946215890947,25446,24773,673
Oman,2021-01-18,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1351436840662925312,26758,24773,1985
Oman,2021-01-19,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1351800332368670720,28049,24773,3276
Oman,2021-01-20,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1352168458994159617,29548,24773,4775
Oman,2021-01-23,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1353291121435283457,30675,24773,5902
Oman,2021-01-24,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1353610389431472133,32765,24773,7992
Oman,2021-01-25,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1353963983418613760,34606,24773,9833
Oman,2021-01-26,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1354319325088387074,36206,24773,11433
Oman,2021-01-27,Pfizer/BioNTech,https://twitter.com/OmaniMOH/status/1354699593666195458,37045,24773,12272
Oman,2021-02-08,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1358715900325728257,39146,26874,12272
Oman,2021-02-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1359067309634125824,41192,28920,12272
Oman,2021-02-10,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1359418715545210882,43233,30961,12272
Oman,2021-02-11,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1359763283532804097,45065,32793,12272
Oman,2021-02-12,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1360163645087449088,46829,34557,12272
Oman,2021-02-13,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1360858721832882177,47198,34926,12272
Oman,2021-02-14,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1361216307002306563,48819,36547,12272
Oman,2021-02-15,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1361584602343763969,50100,37828,12272
Oman,2021-02-16,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1361622939402194948,56847,37828,19019
Oman,2021-02-17,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1361946974652674048,58255,39236,19019
Oman,2021-02-18,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1362292985455661058,59878,40859,19019
Oman,2021-02-19,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1362713658028154881,61971,42952,19019
Oman,2021-02-20,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1363414269572878338,62487,43468,19019
Oman,2021-02-21,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1363751178773921796,64538,45519,19019
Oman,2021-02-22,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1364118472909848582,66103,47084,19019
Oman,2021-02-23,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1364490235132919808,67660,48641,19019
Oman,2021-03-09,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1369238800224882696,94518,75499,19019
Oman,2021-03-10,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1369577366708699140/photo/1,98168,79149,19019
Oman,2021-03-15,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1371366396186230785/photo/1,105003,85984,19019
Oman,2021-03-17,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1372097966668972036,109844,90825,19019
Oman,2021-03-22,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1373935050853584898,120837,101818,19019
Oman,2021-03-24,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1374651151312883713,129198,110179,19019
Oman,2021-03-29,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1376444593554743296,139897,120878,19019
Oman,2021-03-31,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1377163421263663105,151512,132493,19019
Oman,2021-04-05,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1378992177502633987,171055,152036,19019
Oman,2021-04-12,"Oxford/AstraZeneca, Pfizer/BioNTech",https://twitter.com/OmaniMOH/status/1381523255861915648,188029,169010,19019
