date,vaccine,total_vaccinations,location
2020-12-27,Pfizer/BioNTech,1250,Czechia
2020-12-28,Pfizer/BioNTech,3543,Czechia
2020-12-29,Pfizer/BioNTech,6985,Czechia
2020-12-30,Pfizer/BioNTech,10451,Czechia
2020-12-31,Pfizer/BioNTech,11757,Czechia
2021-01-01,Pfizer/BioNTech,12017,Czechia
2021-01-02,Pfizer/BioNTech,13267,Czechia
2021-01-03,Pfizer/BioNTech,14180,Czechia
2021-01-04,Pfizer/BioNTech,17743,Czechia
2021-01-05,Pfizer/BioNTech,22236,Czechia
2021-01-06,Pfizer/BioNTech,28044,Czechia
2021-01-07,Pfizer/BioNTech,35994,Czechia
2021-01-08,Pfizer/BioNTech,45913,Czechia
2021-01-09,Pfizer/BioNTech,47920,Czechia
2021-01-10,Pfizer/BioNTech,49639,Czechia
2021-01-11,Pfizer/BioNTech,59414,Czechia
2021-01-12,Pfizer/BioNTech,72759,Czechia
2021-01-13,Pfizer/BioNTech,86225,Czechia
2021-01-14,Moderna,1222,Czechia
2021-01-14,Pfizer/BioNTech,100159,Czechia
2021-01-15,Moderna,1978,Czechia
2021-01-15,Pfizer/BioNTech,113313,Czechia
2021-01-16,Moderna,2304,Czechia
2021-01-16,Pfizer/BioNTech,116360,Czechia
2021-01-17,Moderna,2393,Czechia
2021-01-17,Pfizer/BioNTech,119494,Czechia
2021-01-18,Moderna,2570,Czechia
2021-01-18,Pfizer/BioNTech,133566,Czechia
2021-01-19,Pfizer/BioNTech,147919,Czechia
2021-01-19,Moderna,3344,Czechia
2021-01-20,Moderna,4921,Czechia
2021-01-20,Pfizer/BioNTech,162496,Czechia
2021-01-21,Moderna,5868,Czechia
2021-01-21,Pfizer/BioNTech,178750,Czechia
2021-01-22,Moderna,6063,Czechia
2021-01-22,Pfizer/BioNTech,194308,Czechia
2021-01-23,Moderna,6103,Czechia
2021-01-23,Pfizer/BioNTech,198396,Czechia
2021-01-24,Moderna,6226,Czechia
2021-01-24,Pfizer/BioNTech,201371,Czechia
2021-01-25,Moderna,6423,Czechia
2021-01-25,Pfizer/BioNTech,213711,Czechia
2021-01-26,Pfizer/BioNTech,227864,Czechia
2021-01-26,Moderna,6696,Czechia
2021-01-27,Moderna,6996,Czechia
2021-01-27,Pfizer/BioNTech,241006,Czechia
2021-01-28,Moderna,7115,Czechia
2021-01-28,Pfizer/BioNTech,253990,Czechia
2021-01-29,Moderna,7266,Czechia
2021-01-29,Pfizer/BioNTech,267784,Czechia
2021-01-30,Moderna,7268,Czechia
2021-01-30,Pfizer/BioNTech,269578,Czechia
2021-01-31,Pfizer/BioNTech,271414,Czechia
2021-02-01,Moderna,7521,Czechia
2021-02-01,Pfizer/BioNTech,282948,Czechia
2021-02-02,Pfizer/BioNTech,296877,Czechia
2021-02-02,Moderna,7845,Czechia
2021-02-03,Pfizer/BioNTech,311470,Czechia
2021-02-03,Moderna,8570,Czechia
2021-02-04,Moderna,9704,Czechia
2021-02-04,Pfizer/BioNTech,328087,Czechia
2021-02-05,Moderna,10885,Czechia
2021-02-05,Pfizer/BioNTech,342913,Czechia
2021-02-06,Moderna,11141,Czechia
2021-02-06,Pfizer/BioNTech,345818,Czechia
2021-02-07,Moderna,11404,Czechia
2021-02-07,Pfizer/BioNTech,348863,Czechia
2021-02-08,Moderna,12309,Czechia
2021-02-08,Pfizer/BioNTech,363277,Czechia
2021-02-09,Moderna,13938,Czechia
2021-02-09,Pfizer/BioNTech,378511,Czechia
2021-02-10,Pfizer/BioNTech,395351,Czechia
2021-02-10,Moderna,15677,Czechia
2021-02-11,Moderna,19033,Czechia
2021-02-11,Oxford/AstraZeneca,230,Czechia
2021-02-11,Pfizer/BioNTech,413951,Czechia
2021-02-12,Moderna,21285,Czechia
2021-02-12,Oxford/AstraZeneca,624,Czechia
2021-02-12,Pfizer/BioNTech,432594,Czechia
2021-02-13,Moderna,21773,Czechia
2021-02-13,Oxford/AstraZeneca,1045,Czechia
2021-02-13,Pfizer/BioNTech,436210,Czechia
2021-02-14,Pfizer/BioNTech,438111,Czechia
2021-02-14,Moderna,22021,Czechia
2021-02-14,Oxford/AstraZeneca,1247,Czechia
2021-02-15,Oxford/AstraZeneca,1957,Czechia
2021-02-15,Pfizer/BioNTech,451621,Czechia
2021-02-15,Moderna,23410,Czechia
2021-02-16,Moderna,25874,Czechia
2021-02-16,Oxford/AstraZeneca,3072,Czechia
2021-02-16,Pfizer/BioNTech,465547,Czechia
2021-02-17,Moderna,28601,Czechia
2021-02-17,Oxford/AstraZeneca,5084,Czechia
