date,vaccine,total_vaccinations,location
2020-12-27,Pfizer/BioNTech,1257,Czechia
2020-12-28,Pfizer/BioNTech,3540,Czechia
2020-12-29,Pfizer/BioNTech,6997,Czechia
2020-12-30,Pfizer/BioNTech,10460,Czechia
2020-12-31,Pfizer/BioNTech,11765,Czechia
2021-01-01,Pfizer/BioNTech,12027,Czechia
2021-01-02,Pfizer/BioNTech,13283,Czechia
2021-01-03,Pfizer/BioNTech,14198,Czechia
2021-01-04,Pfizer/BioNTech,17765,Czechia
2021-01-05,Pfizer/BioNTech,22270,Czechia
2021-01-06,Pfizer/BioNTech,28070,Czechia
2021-01-07,Pfizer/BioNTech,36003,Czechia
2021-01-08,Pfizer/BioNTech,45939,Czechia
2021-01-09,Pfizer/BioNTech,47931,Czechia
2021-01-10,Pfizer/BioNTech,49643,Czechia
2021-01-11,Pfizer/BioNTech,59401,Czechia
2021-01-12,Pfizer/BioNTech,72746,Czechia
2021-01-13,Pfizer/BioNTech,86195,Czechia
2021-01-14,Moderna,1057,Czechia
2021-01-14,Pfizer/BioNTech,100170,Czechia
2021-01-15,Moderna,1754,Czechia
2021-01-15,Pfizer/BioNTech,113192,Czechia
2021-01-16,Moderna,2054,Czechia
2021-01-16,Pfizer/BioNTech,116206,Czechia
2021-01-17,Moderna,2142,Czechia
2021-01-17,Pfizer/BioNTech,119177,Czechia
2021-01-18,Moderna,2318,Czechia
2021-01-18,Pfizer/BioNTech,132926,Czechia
2021-01-19,Moderna,3075,Czechia
2021-01-19,Pfizer/BioNTech,146866,Czechia
2021-01-20,Moderna,4461,Czechia
2021-01-20,Pfizer/BioNTech,160987,Czechia
2021-01-21,Pfizer/BioNTech,176649,Czechia
2021-01-21,Moderna,5382,Czechia
2021-01-22,Moderna,5587,Czechia
2021-01-22,Pfizer/BioNTech,191735,Czechia
2021-01-23,Pfizer/BioNTech,195390,Czechia
2021-01-24,Moderna,5708,Czechia
2021-01-24,Pfizer/BioNTech,198328,Czechia
2021-01-25,Moderna,5866,Czechia
2021-01-25,Pfizer/BioNTech,210529,Czechia
2021-01-26,Pfizer/BioNTech,224467,Czechia
2021-01-26,Moderna,6118,Czechia
2021-01-27,Moderna,6353,Czechia
2021-01-27,Pfizer/BioNTech,237474,Czechia
2021-01-28,Moderna,6467,Czechia
2021-01-28,Pfizer/BioNTech,250398,Czechia
2021-01-29,Moderna,6607,Czechia
2021-01-29,Pfizer/BioNTech,263972,Czechia
2021-01-30,Pfizer/BioNTech,265750,Czechia
2021-01-30,Moderna,6610,Czechia
2021-01-31,Pfizer/BioNTech,267564,Czechia
2021-02-01,Moderna,6790,Czechia
2021-02-01,Pfizer/BioNTech,278677,Czechia
2021-02-02,Moderna,7087,Czechia
2021-02-02,Pfizer/BioNTech,292222,Czechia
2021-02-03,Moderna,7717,Czechia
2021-02-03,Pfizer/BioNTech,306599,Czechia
2021-02-04,Moderna,8480,Czechia
2021-02-04,Pfizer/BioNTech,322924,Czechia
2021-02-05,Moderna,9470,Czechia
2021-02-05,Pfizer/BioNTech,336890,Czechia
2021-02-06,Moderna,9726,Czechia
2021-02-06,Pfizer/BioNTech,339758,Czechia
2021-02-07,Moderna,9989,Czechia
2021-02-07,Pfizer/BioNTech,342617,Czechia
2021-02-08,Moderna,10474,Czechia
2021-02-08,Pfizer/BioNTech,355238,Czechia
