date,vaccine,total_vaccinations,location
2020-12-28,Pfizer/BioNTech,594,Latvia
2020-12-29,Pfizer/BioNTech,1467,Latvia
2020-12-30,Pfizer/BioNTech,2257,Latvia
2021-01-04,Pfizer/BioNTech,2956,Latvia
2021-01-05,Pfizer/BioNTech,3845,Latvia
2021-01-06,Pfizer/BioNTech,4621,Latvia
2021-01-07,Pfizer/BioNTech,5429,Latvia
2021-01-08,Pfizer/BioNTech,6333,Latvia
2021-01-09,Pfizer/BioNTech,6638,Latvia
2021-01-10,Pfizer/BioNTech,6974,Latvia
2021-01-11,Pfizer/BioNTech,8339,Latvia
2021-01-12,Pfizer/BioNTech,9966,Latvia
2021-01-13,Moderna,130,Latvia
2021-01-13,Pfizer/BioNTech,11347,Latvia
2021-01-14,Moderna,553,Latvia
2021-01-14,Pfizer/BioNTech,12746,Latvia
2021-01-15,Moderna,912,Latvia
2021-01-15,Pfizer/BioNTech,14256,Latvia
2021-01-16,Moderna,942,Latvia
2021-01-16,Pfizer/BioNTech,14892,Latvia
2021-01-17,Pfizer/BioNTech,15009,Latvia
2021-01-18,Moderna,1086,Latvia
2021-01-18,Pfizer/BioNTech,15709,Latvia
2021-01-19,Pfizer/BioNTech,16524,Latvia
2021-01-19,Moderna,1147,Latvia
2021-01-20,Moderna,1157,Latvia
2021-01-20,Pfizer/BioNTech,17284,Latvia
2021-01-21,Pfizer/BioNTech,17563,Latvia
2021-01-22,Moderna,1177,Latvia
2021-01-22,Pfizer/BioNTech,17758,Latvia
2021-01-23,Pfizer/BioNTech,17884,Latvia
2021-01-25,Pfizer/BioNTech,18551,Latvia
2021-01-26,Moderna,1188,Latvia
2021-01-26,Pfizer/BioNTech,19388,Latvia
2021-01-27,Pfizer/BioNTech,20206,Latvia
2021-01-28,Pfizer/BioNTech,20985,Latvia
2021-01-29,Moderna,1199,Latvia
2021-01-29,Pfizer/BioNTech,21936,Latvia
2021-01-30,Pfizer/BioNTech,22244,Latvia
2021-01-31,Pfizer/BioNTech,22578,Latvia
2021-02-01,Pfizer/BioNTech,23764,Latvia
2021-02-02,Moderna,1318,Latvia
2021-02-02,Pfizer/BioNTech,25453,Latvia
2021-02-03,Moderna,1535,Latvia
2021-02-03,Pfizer/BioNTech,26855,Latvia
2021-02-04,Moderna,1646,Latvia
2021-02-04,Pfizer/BioNTech,28247,Latvia
2021-02-05,Pfizer/BioNTech,29824,Latvia
2021-02-05,Moderna,1736,Latvia
2021-02-06,Pfizer/BioNTech,30390,Latvia
2021-02-07,Pfizer/BioNTech,30515,Latvia
2021-02-08,Moderna,1776,Latvia
2021-02-08,Pfizer/BioNTech,30886,Latvia
2021-02-09,Moderna,1796,Latvia
2021-02-09,Oxford/AstraZeneca,20,Latvia
2021-02-09,Pfizer/BioNTech,31030,Latvia
2021-02-10,Moderna,1923,Latvia
2021-02-10,Oxford/AstraZeneca,431,Latvia
2021-02-10,Pfizer/BioNTech,31116,Latvia
2021-02-11,Pfizer/BioNTech,31424,Latvia
2021-02-11,Moderna,2305,Latvia
2021-02-11,Oxford/AstraZeneca,1516,Latvia
2021-02-12,Moderna,2644,Latvia
2021-02-12,Oxford/AstraZeneca,2678,Latvia
2021-02-12,Pfizer/BioNTech,31650,Latvia
2021-02-13,Moderna,2693,Latvia
2021-02-13,Oxford/AstraZeneca,2899,Latvia
2021-02-13,Pfizer/BioNTech,31779,Latvia
2021-02-14,Oxford/AstraZeneca,2900,Latvia
2021-02-14,Moderna,2713,Latvia
2021-02-15,Pfizer/BioNTech,31806,Latvia
2021-02-15,Moderna,2864,Latvia
2021-02-15,Oxford/AstraZeneca,3591,Latvia
2021-02-16,Moderna,3073,Latvia
2021-02-16,Oxford/AstraZeneca,4734,Latvia
2021-02-16,Pfizer/BioNTech,31824,Latvia
2021-02-17,Moderna,3201,Latvia
2021-02-17,Oxford/AstraZeneca,6444,Latvia
2021-02-17,Pfizer/BioNTech,31978,Latvia
2021-02-18,Pfizer/BioNTech,32036,Latvia
2021-02-18,Moderna,3436,Latvia
2021-02-18,Oxford/AstraZeneca,7693,Latvia
2021-02-19,Pfizer/BioNTech,32093,Latvia
2021-02-19,Moderna,3641,Latvia
2021-02-19,Oxford/AstraZeneca,8750,Latvia
2021-02-20,Moderna,3661,Latvia
2021-02-20,Oxford/AstraZeneca,9499,Latvia
2021-02-21,Oxford/AstraZeneca,10308,Latvia
2021-02-22,Oxford/AstraZeneca,11705,Latvia
2021-02-22,Moderna,3906,Latvia
2021-02-22,Pfizer/BioNTech,32125,Latvia
2021-02-23,Oxford/AstraZeneca,13712,Latvia
2021-02-23,Moderna,4117,Latvia
2021-02-23,Pfizer/BioNTech,32153,Latvia
2021-02-24,Oxford/AstraZeneca,17526,Latvia
2021-02-24,Moderna,4258,Latvia
2021-02-24,Pfizer/BioNTech,32191,Latvia
