date,total_vaccinations,people_fully_vaccinated,location,people_vaccinated,source_url,vaccine
2021-02-17,18,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-02-18,9935,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-02-19,21307,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-02-20,33140,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-02-21,39827,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-02-22,45166,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-02-23,48150,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-02-24,50524,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-02-25,66157,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-02-26,81333,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-02-27,114042,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-02-28,130578,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-01,149133,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-02,169619,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-03,191480,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-04,206475,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
