location,date,vaccine,total_vaccinations,people_vaccinated,source_url
Qatar,2020-12-22,Pfizer/BioNTech,0.0,,https://www.aljazeera.com/news/2020/12/23/qatar-begins-coronavirus-vaccination-campaign
Qatar,2021-01-28,Pfizer/BioNTech,50000.0,,https://www.gulf-times.com/story/683467/If-Covid-cases-increase-more-restrictions-may-be-e
Qatar,2021-02-17,Pfizer/BioNTech,,100000.0,https://www.gulf-times.com/story/684927/More-than-100-000-vaccinated-in-Qatar-so-far-says-
Qatar,2021-02-18,Pfizer/BioNTech,140000.0,,https://www.gulf-times.com/story/685040
Qatar,2021-03-07,Pfizer/BioNTech,327000.0,,https://twitter.com/MOPHQatar/status/1368573172711370756
Qatar,2021-03-10,Pfizer/BioNTech,380000.0,,https://twitter.com/QNAEnglish/status/1369767228703449106
Qatar,2021-03-16,Pfizer/BioNTech,510000.0,,https://twitter.com/QNAEnglish/status/1371853178195607558
Qatar,2021-03-21,Pfizer/BioNTech,594613.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-03-22,Pfizer/BioNTech,615655.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-03-23,Pfizer/BioNTech,637461.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-03-24,Pfizer/BioNTech,658325.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-03-25,Pfizer/BioNTech,679278.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-03-26,Pfizer/BioNTech,701943.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-03-27,Pfizer/BioNTech,721236.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-03-28,Pfizer/BioNTech,740309.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-03-29,Pfizer/BioNTech,765110.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-03-30,Pfizer/BioNTech,790676.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-03-31,Pfizer/BioNTech,816484.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-04-01,Pfizer/BioNTech,842000.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-04-02,Pfizer/BioNTech,867209.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-04-03,Pfizer/BioNTech,889202.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-04-04,Pfizer/BioNTech,910851.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-04-05,Pfizer/BioNTech,934843.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-04-06,Pfizer/BioNTech,961555.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-04-07,Pfizer/BioNTech,987673.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-04-08,Pfizer/BioNTech,1012716.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-04-09,Pfizer/BioNTech,1041632.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-04-10,Pfizer/BioNTech,1062250.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-04-11,Pfizer/BioNTech,1079776.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-04-12,Pfizer/BioNTech,1104726.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
Qatar,2021-04-13,Pfizer/BioNTech,1131631.0,,https://covid19.moph.gov.qa/EN/Pages/default.aspx
