date,vaccine,total_vaccinations,location
2020-12-28,Pfizer/BioNTech,595,Latvia
2020-12-29,Pfizer/BioNTech,1468,Latvia
2020-12-30,Pfizer/BioNTech,2259,Latvia
2021-01-04,Pfizer/BioNTech,2958,Latvia
2021-01-05,Pfizer/BioNTech,3847,Latvia
2021-01-06,Pfizer/BioNTech,4623,Latvia
2021-01-07,Pfizer/BioNTech,5432,Latvia
2021-01-08,Pfizer/BioNTech,6338,Latvia
2021-01-09,Pfizer/BioNTech,6643,Latvia
2021-01-10,Pfizer/BioNTech,6979,Latvia
2021-01-11,Pfizer/BioNTech,8346,Latvia
2021-01-12,Pfizer/BioNTech,9973,Latvia
2021-01-13,Moderna,130,Latvia
2021-01-13,Pfizer/BioNTech,11356,Latvia
2021-01-14,Moderna,552,Latvia
2021-01-14,Pfizer/BioNTech,12756,Latvia
2021-01-15,Pfizer/BioNTech,14269,Latvia
2021-01-15,Moderna,913,Latvia
2021-01-16,Moderna,943,Latvia
2021-01-16,Pfizer/BioNTech,14907,Latvia
2021-01-17,Pfizer/BioNTech,15024,Latvia
2021-01-18,Moderna,1087,Latvia
2021-01-18,Pfizer/BioNTech,15724,Latvia
2021-01-19,Moderna,1148,Latvia
2021-01-19,Pfizer/BioNTech,16539,Latvia
2021-01-20,Moderna,1158,Latvia
2021-01-20,Pfizer/BioNTech,17299,Latvia
2021-01-21,Pfizer/BioNTech,17578,Latvia
2021-01-22,Moderna,1178,Latvia
2021-01-22,Pfizer/BioNTech,17774,Latvia
2021-01-23,Pfizer/BioNTech,17900,Latvia
2021-01-25,Pfizer/BioNTech,18567,Latvia
2021-01-26,Pfizer/BioNTech,19404,Latvia
2021-01-26,Moderna,1189,Latvia
2021-01-27,Pfizer/BioNTech,20222,Latvia
2021-01-28,Pfizer/BioNTech,21003,Latvia
2021-01-29,Moderna,1200,Latvia
2021-01-29,Pfizer/BioNTech,21954,Latvia
2021-01-30,Pfizer/BioNTech,22262,Latvia
2021-01-31,Pfizer/BioNTech,22596,Latvia
2021-02-01,Pfizer/BioNTech,23783,Latvia
2021-02-02,Moderna,1320,Latvia
2021-02-02,Oxford/AstraZeneca,1,Latvia
2021-02-02,Pfizer/BioNTech,25473,Latvia
2021-02-03,Moderna,1540,Latvia
2021-02-03,Pfizer/BioNTech,26875,Latvia
2021-02-04,Moderna,1651,Latvia
2021-02-04,Pfizer/BioNTech,28267,Latvia
2021-02-05,Moderna,1741,Latvia
2021-02-05,Pfizer/BioNTech,29845,Latvia
2021-02-06,Pfizer/BioNTech,30412,Latvia
2021-02-07,Pfizer/BioNTech,30537,Latvia
2021-02-08,Pfizer/BioNTech,30908,Latvia
2021-02-08,Moderna,1781,Latvia
2021-02-09,Moderna,1801,Latvia
2021-02-09,Oxford/AstraZeneca,21,Latvia
2021-02-09,Pfizer/BioNTech,31052,Latvia
2021-02-10,Moderna,1928,Latvia
2021-02-10,Oxford/AstraZeneca,436,Latvia
2021-02-10,Pfizer/BioNTech,31138,Latvia
2021-02-11,Pfizer/BioNTech,31446,Latvia
2021-02-11,Moderna,2310,Latvia
2021-02-11,Oxford/AstraZeneca,1530,Latvia
2021-02-12,Moderna,2649,Latvia
2021-02-12,Oxford/AstraZeneca,2694,Latvia
2021-02-12,Pfizer/BioNTech,31672,Latvia
2021-02-13,Moderna,2699,Latvia
2021-02-13,Oxford/AstraZeneca,2916,Latvia
2021-02-13,Pfizer/BioNTech,31801,Latvia
2021-02-14,Oxford/AstraZeneca,2917,Latvia
2021-02-14,Moderna,2719,Latvia
2021-02-15,Pfizer/BioNTech,31828,Latvia
2021-02-15,Oxford/AstraZeneca,3613,Latvia
2021-02-15,Moderna,2870,Latvia
2021-02-16,Moderna,3089,Latvia
2021-02-16,Oxford/AstraZeneca,4757,Latvia
2021-02-16,Pfizer/BioNTech,31846,Latvia
2021-02-17,Moderna,3221,Latvia
2021-02-17,Oxford/AstraZeneca,6464,Latvia
2021-02-17,Pfizer/BioNTech,32000,Latvia
2021-02-18,Pfizer/BioNTech,32059,Latvia
2021-02-18,Oxford/AstraZeneca,7715,Latvia
2021-02-18,Moderna,3459,Latvia
2021-02-19,Moderna,3667,Latvia
2021-02-19,Oxford/AstraZeneca,8802,Latvia
2021-02-19,Pfizer/BioNTech,32116,Latvia
2021-02-20,Moderna,3686,Latvia
2021-02-20,Oxford/AstraZeneca,9554,Latvia
2021-02-21,Oxford/AstraZeneca,10362,Latvia
2021-02-22,Pfizer/BioNTech,32148,Latvia
2021-02-22,Moderna,3930,Latvia
2021-02-22,Oxford/AstraZeneca,11871,Latvia
2021-02-23,Moderna,4151,Latvia
2021-02-23,Oxford/AstraZeneca,14015,Latvia
2021-02-23,Pfizer/BioNTech,32175,Latvia
2021-02-24,Moderna,4302,Latvia
2021-02-24,Oxford/AstraZeneca,18139,Latvia
2021-02-24,Pfizer/BioNTech,32214,Latvia
2021-02-25,Moderna,4562,Latvia
2021-02-25,Oxford/AstraZeneca,21968,Latvia
2021-02-25,Pfizer/BioNTech,32310,Latvia
2021-02-26,Moderna,4776,Latvia
2021-02-26,Oxford/AstraZeneca,24998,Latvia
2021-02-26,Pfizer/BioNTech,32441,Latvia
2021-02-27,Oxford/AstraZeneca,25257,Latvia
2021-02-27,Moderna,5096,Latvia
2021-02-27,Pfizer/BioNTech,32450,Latvia
2021-02-28,Oxford/AstraZeneca,25387,Latvia
2021-02-28,Moderna,5097,Latvia
2021-03-01,Moderna,5479,Latvia
2021-03-01,Oxford/AstraZeneca,26522,Latvia
2021-03-01,Pfizer/BioNTech,32691,Latvia
2021-03-02,Moderna,6204,Latvia
2021-03-02,Oxford/AstraZeneca,27653,Latvia
2021-03-02,Pfizer/BioNTech,33015,Latvia
2021-03-03,Pfizer/BioNTech,33664,Latvia
2021-03-03,Oxford/AstraZeneca,30355,Latvia
2021-03-03,Moderna,6954,Latvia
2021-03-04,Moderna,7482,Latvia
2021-03-04,Oxford/AstraZeneca,35270,Latvia
2021-03-04,Pfizer/BioNTech,34189,Latvia
2021-03-05,Moderna,7958,Latvia
2021-03-05,Oxford/AstraZeneca,39264,Latvia
2021-03-05,Pfizer/BioNTech,34538,Latvia
2021-03-06,Pfizer/BioNTech,34539,Latvia
2021-03-06,Moderna,8042,Latvia
2021-03-06,Oxford/AstraZeneca,39949,Latvia
2021-03-07,Oxford/AstraZeneca,40028,Latvia
2021-03-08,Moderna,8304,Latvia
2021-03-08,Oxford/AstraZeneca,41459,Latvia
2021-03-09,Moderna,8660,Latvia
2021-03-09,Oxford/AstraZeneca,43210,Latvia
2021-03-09,Pfizer/BioNTech,34778,Latvia
2021-03-10,Moderna,8940,Latvia
2021-03-10,Oxford/AstraZeneca,44828,Latvia
2021-03-10,Pfizer/BioNTech,35340,Latvia
2021-03-11,Moderna,9095,Latvia
2021-03-11,Oxford/AstraZeneca,47173,Latvia
2021-03-11,Pfizer/BioNTech,35484,Latvia
2021-03-12,Oxford/AstraZeneca,51932,Latvia
2021-03-12,Moderna,9228,Latvia
2021-03-12,Pfizer/BioNTech,35525,Latvia
2021-03-13,Oxford/AstraZeneca,52764,Latvia
2021-03-13,Moderna,9298,Latvia
2021-03-14,Oxford/AstraZeneca,52836,Latvia
2021-03-15,Oxford/AstraZeneca,56457,Latvia
2021-03-15,Moderna,9399,Latvia
2021-03-16,Moderna,9562,Latvia
2021-03-16,Oxford/AstraZeneca,56461,Latvia
2021-03-16,Pfizer/BioNTech,35535,Latvia
2021-03-17,Moderna,9722,Latvia
2021-03-17,Oxford/AstraZeneca,56462,Latvia
2021-03-17,Pfizer/BioNTech,35542,Latvia
2021-03-18,Pfizer/BioNTech,35595,Latvia
2021-03-18,Moderna,9942,Latvia
2021-03-19,Moderna,10235,Latvia
2021-03-19,Oxford/AstraZeneca,56775,Latvia
2021-03-19,Pfizer/BioNTech,35689,Latvia
2021-03-20,Moderna,10285,Latvia
2021-03-20,Oxford/AstraZeneca,57125,Latvia
2021-03-21,Oxford/AstraZeneca,57149,Latvia
2021-03-22,Oxford/AstraZeneca,59150,Latvia
2021-03-22,Moderna,10890,Latvia
2021-03-23,Pfizer/BioNTech,35882,Latvia
2021-03-23,Moderna,12087,Latvia
2021-03-23,Oxford/AstraZeneca,63220,Latvia
2021-03-24,Moderna,13558,Latvia
2021-03-24,Oxford/AstraZeneca,67308,Latvia
2021-03-24,Pfizer/BioNTech,36422,Latvia
2021-03-25,Moderna,15162,Latvia
2021-03-25,Oxford/AstraZeneca,70582,Latvia
2021-03-25,Pfizer/BioNTech,36902,Latvia
2021-03-26,Moderna,16819,Latvia
2021-03-26,Oxford/AstraZeneca,72473,Latvia
2021-03-26,Pfizer/BioNTech,37349,Latvia
2021-03-27,Moderna,17221,Latvia
2021-03-27,Oxford/AstraZeneca,72634,Latvia
2021-03-28,Oxford/AstraZeneca,72662,Latvia
2021-03-29,Oxford/AstraZeneca,73742,Latvia
2021-03-29,Moderna,18244,Latvia
2021-03-30,Oxford/AstraZeneca,76470,Latvia
2021-03-30,Pfizer/BioNTech,38326,Latvia
2021-03-30,Moderna,19536,Latvia
2021-03-31,Moderna,20876,Latvia
2021-03-31,Oxford/AstraZeneca,79146,Latvia
2021-03-31,Pfizer/BioNTech,40011,Latvia
2021-04-01,Moderna,22353,Latvia
2021-04-01,Oxford/AstraZeneca,81159,Latvia
2021-04-01,Pfizer/BioNTech,40633,Latvia
2021-04-02,Pfizer/BioNTech,40634,Latvia
2021-04-02,Oxford/AstraZeneca,81478,Latvia
2021-04-02,Moderna,22596,Latvia
2021-04-03,Moderna,22748,Latvia
2021-04-03,Oxford/AstraZeneca,84538,Latvia
2021-04-03,Pfizer/BioNTech,40773,Latvia
2021-04-04,Moderna,22756,Latvia
2021-04-04,Oxford/AstraZeneca,86150,Latvia
2021-04-05,Moderna,22886,Latvia
2021-04-05,Oxford/AstraZeneca,88872,Latvia
2021-04-06,Pfizer/BioNTech,40823,Latvia
2021-04-06,Oxford/AstraZeneca,92464,Latvia
2021-04-06,Moderna,24606,Latvia
2021-04-07,Moderna,26992,Latvia
2021-04-07,Oxford/AstraZeneca,99108,Latvia
2021-04-07,Pfizer/BioNTech,40943,Latvia
2021-04-08,Moderna,28979,Latvia
2021-04-08,Oxford/AstraZeneca,103695,Latvia
2021-04-08,Pfizer/BioNTech,41402,Latvia
2021-04-09,Moderna,30377,Latvia
2021-04-09,Oxford/AstraZeneca,106831,Latvia
2021-04-09,Pfizer/BioNTech,41697,Latvia
2021-04-10,Moderna,30529,Latvia
2021-04-10,Oxford/AstraZeneca,108256,Latvia
