date,vaccine,total_vaccinations,location
2020-12-28,Pfizer/BioNTech,595,Latvia
2020-12-29,Pfizer/BioNTech,1468,Latvia
2020-12-30,Pfizer/BioNTech,2259,Latvia
2021-01-04,Pfizer/BioNTech,2958,Latvia
2021-01-05,Pfizer/BioNTech,3847,Latvia
2021-01-06,Pfizer/BioNTech,4623,Latvia
2021-01-07,Pfizer/BioNTech,5432,Latvia
2021-01-08,Pfizer/BioNTech,6338,Latvia
2021-01-09,Pfizer/BioNTech,6643,Latvia
2021-01-10,Pfizer/BioNTech,6979,Latvia
2021-01-11,Pfizer/BioNTech,8346,Latvia
2021-01-12,Pfizer/BioNTech,9973,Latvia
2021-01-13,Moderna,130,Latvia
2021-01-13,Pfizer/BioNTech,11356,Latvia
2021-01-14,Moderna,552,Latvia
2021-01-14,Pfizer/BioNTech,12756,Latvia
2021-01-15,Pfizer/BioNTech,14269,Latvia
2021-01-15,Moderna,913,Latvia
2021-01-16,Moderna,943,Latvia
2021-01-16,Pfizer/BioNTech,14907,Latvia
2021-01-17,Pfizer/BioNTech,15024,Latvia
2021-01-18,Moderna,1087,Latvia
2021-01-18,Pfizer/BioNTech,15724,Latvia
2021-01-19,Moderna,1148,Latvia
2021-01-19,Pfizer/BioNTech,16539,Latvia
2021-01-20,Moderna,1158,Latvia
2021-01-20,Pfizer/BioNTech,17299,Latvia
2021-01-21,Pfizer/BioNTech,17578,Latvia
2021-01-22,Moderna,1178,Latvia
2021-01-22,Pfizer/BioNTech,17774,Latvia
2021-01-23,Pfizer/BioNTech,17900,Latvia
2021-01-25,Pfizer/BioNTech,18567,Latvia
2021-01-26,Moderna,1189,Latvia
2021-01-26,Pfizer/BioNTech,19404,Latvia
2021-01-27,Pfizer/BioNTech,20222,Latvia
2021-01-28,Pfizer/BioNTech,21003,Latvia
2021-01-29,Moderna,1200,Latvia
2021-01-29,Pfizer/BioNTech,21954,Latvia
2021-01-30,Pfizer/BioNTech,22262,Latvia
2021-01-31,Pfizer/BioNTech,22596,Latvia
2021-02-01,Pfizer/BioNTech,23783,Latvia
2021-02-02,Oxford/AstraZeneca,1,Latvia
2021-02-02,Pfizer/BioNTech,25473,Latvia
2021-02-02,Moderna,1320,Latvia
2021-02-03,Moderna,1540,Latvia
2021-02-03,Pfizer/BioNTech,26875,Latvia
2021-02-04,Moderna,1651,Latvia
2021-02-04,Pfizer/BioNTech,28267,Latvia
2021-02-05,Moderna,1741,Latvia
2021-02-05,Pfizer/BioNTech,29845,Latvia
2021-02-06,Pfizer/BioNTech,30412,Latvia
2021-02-07,Pfizer/BioNTech,30537,Latvia
2021-02-08,Pfizer/BioNTech,30908,Latvia
2021-02-08,Moderna,1781,Latvia
2021-02-09,Moderna,1801,Latvia
2021-02-09,Oxford/AstraZeneca,21,Latvia
2021-02-09,Pfizer/BioNTech,31052,Latvia
2021-02-10,Moderna,1928,Latvia
2021-02-10,Oxford/AstraZeneca,436,Latvia
2021-02-10,Pfizer/BioNTech,31138,Latvia
2021-02-11,Moderna,2310,Latvia
2021-02-11,Oxford/AstraZeneca,1530,Latvia
2021-02-11,Pfizer/BioNTech,31446,Latvia
2021-02-12,Moderna,2649,Latvia
2021-02-12,Oxford/AstraZeneca,2694,Latvia
2021-02-12,Pfizer/BioNTech,31672,Latvia
2021-02-13,Moderna,2699,Latvia
2021-02-13,Oxford/AstraZeneca,2916,Latvia
2021-02-13,Pfizer/BioNTech,31801,Latvia
2021-02-14,Oxford/AstraZeneca,2917,Latvia
2021-02-14,Moderna,2719,Latvia
2021-02-15,Moderna,2870,Latvia
2021-02-15,Oxford/AstraZeneca,3613,Latvia
2021-02-15,Pfizer/BioNTech,31828,Latvia
2021-02-16,Moderna,3089,Latvia
2021-02-16,Oxford/AstraZeneca,4757,Latvia
2021-02-16,Pfizer/BioNTech,31846,Latvia
2021-02-17,Moderna,3221,Latvia
2021-02-17,Oxford/AstraZeneca,6464,Latvia
2021-02-17,Pfizer/BioNTech,32000,Latvia
2021-02-18,Moderna,3459,Latvia
2021-02-18,Oxford/AstraZeneca,7715,Latvia
2021-02-18,Pfizer/BioNTech,32059,Latvia
2021-02-19,Moderna,3667,Latvia
2021-02-19,Oxford/AstraZeneca,8802,Latvia
2021-02-19,Pfizer/BioNTech,32115,Latvia
2021-02-20,Oxford/AstraZeneca,9554,Latvia
2021-02-20,Moderna,3686,Latvia
2021-02-21,Oxford/AstraZeneca,10362,Latvia
2021-02-22,Moderna,3930,Latvia
2021-02-22,Oxford/AstraZeneca,11871,Latvia
2021-02-22,Pfizer/BioNTech,32147,Latvia
2021-02-23,Moderna,4151,Latvia
2021-02-23,Oxford/AstraZeneca,14005,Latvia
2021-02-23,Pfizer/BioNTech,32174,Latvia
2021-02-24,Moderna,4302,Latvia
2021-02-24,Oxford/AstraZeneca,18129,Latvia
2021-02-24,Pfizer/BioNTech,32213,Latvia
2021-02-25,Moderna,4562,Latvia
2021-02-25,Oxford/AstraZeneca,21961,Latvia
2021-02-25,Pfizer/BioNTech,32303,Latvia
2021-02-26,Oxford/AstraZeneca,24981,Latvia
2021-02-26,Pfizer/BioNTech,32434,Latvia
2021-02-26,Moderna,4776,Latvia
2021-02-27,Pfizer/BioNTech,32443,Latvia
2021-02-27,Oxford/AstraZeneca,25240,Latvia
2021-02-27,Moderna,5096,Latvia
2021-02-28,Moderna,5097,Latvia
2021-02-28,Oxford/AstraZeneca,25370,Latvia
2021-03-01,Moderna,5479,Latvia
2021-03-01,Oxford/AstraZeneca,26505,Latvia
2021-03-01,Pfizer/BioNTech,32684,Latvia
2021-03-02,Moderna,6204,Latvia
2021-03-02,Oxford/AstraZeneca,27636,Latvia
2021-03-02,Pfizer/BioNTech,33008,Latvia
2021-03-03,Moderna,6953,Latvia
2021-03-03,Oxford/AstraZeneca,30337,Latvia
2021-03-03,Pfizer/BioNTech,33657,Latvia
2021-03-04,Moderna,7481,Latvia
2021-03-04,Oxford/AstraZeneca,35253,Latvia
2021-03-04,Pfizer/BioNTech,34182,Latvia
2021-03-05,Pfizer/BioNTech,34531,Latvia
2021-03-05,Oxford/AstraZeneca,39236,Latvia
2021-03-05,Moderna,7957,Latvia
2021-03-06,Moderna,8041,Latvia
2021-03-06,Oxford/AstraZeneca,39921,Latvia
2021-03-06,Pfizer/BioNTech,34532,Latvia
2021-03-07,Oxford/AstraZeneca,40000,Latvia
2021-03-08,Moderna,8303,Latvia
2021-03-08,Oxford/AstraZeneca,41431,Latvia
2021-03-09,Pfizer/BioNTech,34771,Latvia
2021-03-09,Oxford/AstraZeneca,43182,Latvia
2021-03-09,Moderna,8659,Latvia
2021-03-10,Moderna,8939,Latvia
2021-03-10,Oxford/AstraZeneca,44800,Latvia
2021-03-10,Pfizer/BioNTech,35333,Latvia
2021-03-11,Moderna,9094,Latvia
2021-03-11,Oxford/AstraZeneca,47134,Latvia
2021-03-11,Pfizer/BioNTech,35477,Latvia
2021-03-12,Pfizer/BioNTech,35518,Latvia
2021-03-12,Oxford/AstraZeneca,51892,Latvia
2021-03-12,Moderna,9227,Latvia
2021-03-13,Moderna,9297,Latvia
2021-03-13,Oxford/AstraZeneca,52724,Latvia
2021-03-14,Oxford/AstraZeneca,52796,Latvia
2021-03-15,Moderna,9398,Latvia
2021-03-15,Oxford/AstraZeneca,56417,Latvia
2021-03-16,Moderna,9561,Latvia
2021-03-16,Oxford/AstraZeneca,56421,Latvia
2021-03-16,Pfizer/BioNTech,35528,Latvia
2021-03-17,Moderna,9721,Latvia
2021-03-17,Oxford/AstraZeneca,56422,Latvia
2021-03-17,Pfizer/BioNTech,35534,Latvia
2021-03-18,Moderna,9941,Latvia
2021-03-18,Pfizer/BioNTech,35587,Latvia
2021-03-19,Pfizer/BioNTech,35681,Latvia
2021-03-19,Oxford/AstraZeneca,56735,Latvia
2021-03-19,Moderna,10234,Latvia
2021-03-20,Moderna,10284,Latvia
2021-03-20,Oxford/AstraZeneca,57085,Latvia
2021-03-21,Oxford/AstraZeneca,57109,Latvia
2021-03-22,Moderna,10889,Latvia
2021-03-22,Oxford/AstraZeneca,59110,Latvia
2021-03-23,Moderna,12086,Latvia
2021-03-23,Oxford/AstraZeneca,63170,Latvia
2021-03-23,Pfizer/BioNTech,35874,Latvia
2021-03-24,Moderna,13554,Latvia
2021-03-24,Oxford/AstraZeneca,67260,Latvia
2021-03-24,Pfizer/BioNTech,36414,Latvia
2021-03-25,Moderna,15158,Latvia
2021-03-25,Oxford/AstraZeneca,70533,Latvia
2021-03-25,Pfizer/BioNTech,36894,Latvia
2021-03-26,Oxford/AstraZeneca,72414,Latvia
2021-03-26,Pfizer/BioNTech,37341,Latvia
2021-03-26,Moderna,16815,Latvia
2021-03-27,Moderna,17217,Latvia
2021-03-27,Oxford/AstraZeneca,72575,Latvia
2021-03-28,Oxford/AstraZeneca,72603,Latvia
2021-03-29,Moderna,18240,Latvia
2021-03-29,Oxford/AstraZeneca,73683,Latvia
2021-03-30,Moderna,19532,Latvia
2021-03-30,Oxford/AstraZeneca,76411,Latvia
2021-03-30,Pfizer/BioNTech,38318,Latvia
2021-03-31,Moderna,20872,Latvia
2021-03-31,Oxford/AstraZeneca,79087,Latvia
2021-03-31,Pfizer/BioNTech,40002,Latvia
2021-04-01,Moderna,22349,Latvia
2021-04-01,Oxford/AstraZeneca,81100,Latvia
2021-04-01,Pfizer/BioNTech,40624,Latvia
2021-04-02,Pfizer/BioNTech,40625,Latvia
2021-04-02,Moderna,22591,Latvia
2021-04-02,Oxford/AstraZeneca,81419,Latvia
2021-04-03,Moderna,22743,Latvia
2021-04-03,Oxford/AstraZeneca,84479,Latvia
2021-04-03,Pfizer/BioNTech,40764,Latvia
2021-04-04,Moderna,22751,Latvia
2021-04-04,Oxford/AstraZeneca,86091,Latvia
2021-04-05,Moderna,22882,Latvia
2021-04-05,Oxford/AstraZeneca,88814,Latvia
2021-04-06,Moderna,24601,Latvia
2021-04-06,Oxford/AstraZeneca,92406,Latvia
2021-04-06,Pfizer/BioNTech,40814,Latvia
2021-04-07,Pfizer/BioNTech,40934,Latvia
2021-04-07,Moderna,26971,Latvia
2021-04-07,Oxford/AstraZeneca,99044,Latvia
2021-04-08,Oxford/AstraZeneca,103631,Latvia
2021-04-08,Pfizer/BioNTech,41392,Latvia
2021-04-08,Moderna,28948,Latvia
2021-04-09,Oxford/AstraZeneca,106745,Latvia
2021-04-09,Pfizer/BioNTech,41687,Latvia
2021-04-09,Moderna,30346,Latvia
2021-04-10,Moderna,30498,Latvia
2021-04-10,Oxford/AstraZeneca,108170,Latvia
