date,vaccine,total_vaccinations,location
2020-12-29,Pfizer/BioNTech,2524.0,Iceland
2020-12-30,Pfizer/BioNTech,4940.0,Iceland
2020-12-31,Pfizer/BioNTech,4940.0,Iceland
2021-01-01,Pfizer/BioNTech,4940.0,Iceland
2021-01-02,Pfizer/BioNTech,4940.0,Iceland
2021-01-03,Pfizer/BioNTech,4940.0,Iceland
2021-01-04,Pfizer/BioNTech,4940.0,Iceland
2021-01-05,Pfizer/BioNTech,4947.0,Iceland
2021-01-06,Pfizer/BioNTech,4947.0,Iceland
2021-01-07,Pfizer/BioNTech,4947.0,Iceland
2021-01-08,Pfizer/BioNTech,4947.0,Iceland
2021-01-09,Pfizer/BioNTech,4947.0,Iceland
2021-01-10,Pfizer/BioNTech,4947.0,Iceland
2021-01-11,Pfizer/BioNTech,4947.0,Iceland
2021-01-12,Pfizer/BioNTech,4947.0,Iceland
2021-01-13,Pfizer/BioNTech,4947.0,Iceland
2021-01-14,Pfizer/BioNTech,4947.0,Iceland
2021-01-15,Pfizer/BioNTech,4947.0,Iceland
2021-01-16,Pfizer/BioNTech,4947.0,Iceland
2021-01-17,Pfizer/BioNTech,4947.0,Iceland
2021-01-18,Pfizer/BioNTech,4977.0,Iceland
2021-01-19,Pfizer/BioNTech,6071.0,Iceland
2021-01-20,Pfizer/BioNTech,7833.0,Iceland
2021-01-21,Pfizer/BioNTech,11608.0,Iceland
2021-01-22,Pfizer/BioNTech,13499.0,Iceland
2021-01-23,Pfizer/BioNTech,14048.0,Iceland
2021-01-24,Pfizer/BioNTech,14048.0,Iceland
2021-01-25,Pfizer/BioNTech,14204.0,Iceland
2021-01-26,Pfizer/BioNTech,14311.0,Iceland
2021-01-27,Pfizer/BioNTech,14324.0,Iceland
2021-01-28,Pfizer/BioNTech,14324.0,Iceland
2021-01-29,Pfizer/BioNTech,14325.0,Iceland
2021-01-30,Pfizer/BioNTech,14325.0,Iceland
2021-01-31,Pfizer/BioNTech,14325.0,Iceland
2021-02-01,Pfizer/BioNTech,14762.0,Iceland
2021-02-02,Pfizer/BioNTech,15773.0,Iceland
2021-02-03,Pfizer/BioNTech,16302.0,Iceland
2021-02-04,Pfizer/BioNTech,16341.0,Iceland
2021-02-05,Pfizer/BioNTech,16365.0,Iceland
2021-02-06,Pfizer/BioNTech,16484.0,Iceland
2021-02-07,Pfizer/BioNTech,16484.0,Iceland
2021-02-08,Pfizer/BioNTech,16484.0,Iceland
2021-02-09,Pfizer/BioNTech,16484.0,Iceland
2021-02-10,Pfizer/BioNTech,16485.0,Iceland
2021-02-11,Pfizer/BioNTech,16485.0,Iceland
2021-02-12,Pfizer/BioNTech,16499.0,Iceland
2021-02-13,Pfizer/BioNTech,16499.0,Iceland
2021-02-14,Pfizer/BioNTech,16499.0,Iceland
2021-02-15,Pfizer/BioNTech,16499.0,Iceland
2021-02-16,Pfizer/BioNTech,17794.0,Iceland
2021-02-17,Pfizer/BioNTech,20221.0,Iceland
2021-02-18,Pfizer/BioNTech,20668.0,Iceland
2021-02-19,Pfizer/BioNTech,20852.0,Iceland
2021-02-20,Pfizer/BioNTech,21202.0,Iceland
2021-02-21,Pfizer/BioNTech,21202.0,Iceland
2021-02-22,Pfizer/BioNTech,21228.0,Iceland
2021-02-23,Pfizer/BioNTech,22599.0,Iceland
2021-02-24,Pfizer/BioNTech,23910.0,Iceland
2021-02-25,Pfizer/BioNTech,24427.0,Iceland
2021-02-26,Pfizer/BioNTech,24586.0,Iceland
2021-02-27,Pfizer/BioNTech,24745.0,Iceland
2021-02-28,Pfizer/BioNTech,24745.0,Iceland
2021-03-01,Pfizer/BioNTech,24745.0,Iceland
2021-03-02,Pfizer/BioNTech,27102.0,Iceland
2021-03-03,Pfizer/BioNTech,29855.0,Iceland
2021-03-04,Pfizer/BioNTech,30036.0,Iceland
2021-03-05,Pfizer/BioNTech,30036.0,Iceland
2021-03-06,Pfizer/BioNTech,30036.0,Iceland
2021-03-07,Pfizer/BioNTech,30036.0,Iceland
2021-03-08,Pfizer/BioNTech,30037.0,Iceland
2021-03-09,Pfizer/BioNTech,32712.0,Iceland
2021-03-10,Pfizer/BioNTech,33298.0,Iceland
2021-03-11,Pfizer/BioNTech,33724.0,Iceland
2021-03-12,Pfizer/BioNTech,33918.0,Iceland
2021-03-13,Pfizer/BioNTech,33918.0,Iceland
2021-03-14,Pfizer/BioNTech,33918.0,Iceland
2021-03-15,Pfizer/BioNTech,33938.0,Iceland
2021-03-16,Pfizer/BioNTech,37171.0,Iceland
2021-03-17,Pfizer/BioNTech,37698.0,Iceland
2021-03-18,Pfizer/BioNTech,38737.0,Iceland
2021-03-19,Pfizer/BioNTech,38923.0,Iceland
2021-03-20,Pfizer/BioNTech,38923.0,Iceland
2021-03-21,Pfizer/BioNTech,38924.0,Iceland
2021-03-22,Pfizer/BioNTech,40547.0,Iceland
2021-03-23,Pfizer/BioNTech,43492.0,Iceland
2021-03-24,Pfizer/BioNTech,43934.0,Iceland
2021-03-25,Pfizer/BioNTech,44376.0,Iceland
2021-03-26,Pfizer/BioNTech,44807.0,Iceland
2021-03-27,Pfizer/BioNTech,45192.0,Iceland
2021-03-28,Pfizer/BioNTech,45524.0,Iceland
2021-03-29,Pfizer/BioNTech,46384.0,Iceland
2021-03-30,Pfizer/BioNTech,49885.0,Iceland
2021-03-31,Pfizer/BioNTech,50724.0,Iceland
2021-04-01,Pfizer/BioNTech,50725.0,Iceland
2021-04-02,Pfizer/BioNTech,50725.0,Iceland
2021-04-03,Pfizer/BioNTech,50725.0,Iceland
2021-04-04,Pfizer/BioNTech,50725.0,Iceland
