date,vaccine,total_vaccinations,location
2020-12-27,Pfizer/BioNTech,2421,Lithuania
2020-12-28,Pfizer/BioNTech,5210,Lithuania
2020-12-29,Pfizer/BioNTech,8184,Lithuania
2020-12-30,Pfizer/BioNTech,9716,Lithuania
2020-12-31,Pfizer/BioNTech,9741,Lithuania
2021-01-04,Pfizer/BioNTech,9743,Lithuania
2021-01-05,Pfizer/BioNTech,10366,Lithuania
2021-01-06,Pfizer/BioNTech,13867,Lithuania
2021-01-07,Pfizer/BioNTech,18038,Lithuania
2021-01-08,Pfizer/BioNTech,23218,Lithuania
2021-01-09,Pfizer/BioNTech,23522,Lithuania
2021-01-10,Pfizer/BioNTech,23525,Lithuania
2021-01-11,Pfizer/BioNTech,25731,Lithuania
2021-01-12,Pfizer/BioNTech,27819,Lithuania
2021-01-13,Moderna,163,Lithuania
2021-01-13,Pfizer/BioNTech,33909,Lithuania
2021-01-14,Pfizer/BioNTech,42243,Lithuania
2021-01-14,Moderna,471,Lithuania
2021-01-15,Moderna,1041,Lithuania
2021-01-15,Pfizer/BioNTech,48983,Lithuania
2021-01-16,Pfizer/BioNTech,50088,Lithuania
2021-01-17,Moderna,1042,Lithuania
2021-01-17,Pfizer/BioNTech,51220,Lithuania
2021-01-18,Moderna,1578,Lithuania
2021-01-18,Pfizer/BioNTech,55208,Lithuania
2021-01-19,Moderna,2074,Lithuania
2021-01-19,Pfizer/BioNTech,60999,Lithuania
2021-01-20,Moderna,2312,Lithuania
2021-01-20,Pfizer/BioNTech,64235,Lithuania
2021-01-21,Moderna,2372,Lithuania
2021-01-21,Pfizer/BioNTech,65724,Lithuania
2021-01-22,Pfizer/BioNTech,66117,Lithuania
2021-01-23,Pfizer/BioNTech,66125,Lithuania
2021-01-25,Pfizer/BioNTech,66227,Lithuania
2021-01-26,Pfizer/BioNTech,69376,Lithuania
2021-01-27,Pfizer/BioNTech,76280,Lithuania
2021-01-28,Pfizer/BioNTech,83369,Lithuania
2021-01-29,Pfizer/BioNTech,91447,Lithuania
2021-01-30,Pfizer/BioNTech,92091,Lithuania
2021-01-31,Pfizer/BioNTech,92099,Lithuania
2021-02-01,Pfizer/BioNTech,94983,Lithuania
2021-02-02,Moderna,2694,Lithuania
2021-02-02,Oxford/AstraZeneca,2,Lithuania
2021-02-02,Pfizer/BioNTech,98572,Lithuania
2021-02-03,Pfizer/BioNTech,104742,Lithuania
2021-02-03,Moderna,3325,Lithuania
2021-02-04,Moderna,3905,Lithuania
2021-02-04,Oxford/AstraZeneca,3,Lithuania
2021-02-04,Pfizer/BioNTech,114027,Lithuania
2021-02-05,Moderna,4050,Lithuania
2021-02-05,Pfizer/BioNTech,121202,Lithuania
2021-02-06,Pfizer/BioNTech,121929,Lithuania
2021-02-07,Pfizer/BioNTech,122026,Lithuania
2021-02-08,Pfizer/BioNTech,124601,Lithuania
2021-02-08,Moderna,4138,Lithuania
2021-02-09,Moderna,4378,Lithuania
2021-02-09,Oxford/AstraZeneca,302,Lithuania
2021-02-09,Pfizer/BioNTech,126915,Lithuania
2021-02-10,Moderna,4689,Lithuania
2021-02-10,Oxford/AstraZeneca,3028,Lithuania
2021-02-10,Pfizer/BioNTech,130032,Lithuania
2021-02-11,Moderna,5121,Lithuania
2021-02-11,Oxford/AstraZeneca,5526,Lithuania
2021-02-11,Pfizer/BioNTech,136172,Lithuania
2021-02-12,Moderna,5740,Lithuania
2021-02-12,Oxford/AstraZeneca,7461,Lithuania
2021-02-12,Pfizer/BioNTech,140904,Lithuania
2021-02-13,Moderna,5744,Lithuania
2021-02-13,Oxford/AstraZeneca,7771,Lithuania
