location,date,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated
Luxembourg,2020-12-30,Pfizer/BioNTech,1200,https://covid19.public.lu/fr/actualite-covid-19/communiques/2020/12/30-vaccination.html,1200,
Luxembourg,2021-01-11,Pfizer/BioNTech,1943,https://download.data.public.lu/resources/covid-19-rapports-journaliers/20210112-174656/coronavirus-rapport-journalier-12012021.pdf,1943,
Luxembourg,2021-01-12,Pfizer/BioNTech,2372,https://download.data.public.lu/resources/covid-19-rapports-journaliers/20210113-181303/coronavirus-rapport-journalier-13012021.pdf,2372,
Luxembourg,2021-01-13,Pfizer/BioNTech,2871,https://download.data.public.lu/resources/covid-19-rapports-journaliers/20210114-172257/coronavirus-rapport-journalier-14012021.pdf,2871,
Luxembourg,2021-01-14,Pfizer/BioNTech,3233,https://download.data.public.lu/resources/covid-19-rapports-journaliers/20210115-172257/coronavirus-rapport-journalier-15012021.pdf,3233,
Luxembourg,2021-01-17,Pfizer/BioNTech,3755,https://download.data.public.lu/resources/covid-19-rapports-journaliers/20210118-171634/coronavirus-rapport-journalier-18012021.pdf,3755,
Luxembourg,2021-01-18,Pfizer/BioNTech,4569,https://download.data.public.lu/resources/covid-19-rapports-journaliers/20210119-170522/coronavirus-rapport-journalier-19012021.pdf,4569,
Luxembourg,2021-01-19,Pfizer/BioNTech,5294,https://data.public.lu/fr/datasets/r/ac9f9196-64bb-453e-bc93-22e8c7452ab6,5294,
Luxembourg,2021-01-20,Pfizer/BioNTech,6193,https://data.public.lu/fr/datasets/r/991243fe-25c3-4af4-9689-0555d7e05771,6193,
Luxembourg,2021-01-21,Pfizer/BioNTech,6897,https://data.public.lu/fr/datasets/r/fa53afaa-7712-4261-b2e6-d23041c40f95,6897,
Luxembourg,2021-01-25,Pfizer/BioNTech,8554,https://data.public.lu/fr/datasets/r/015f2db2-b62d-400a-bb6f-4edd3f447837,7309,1245.0
Luxembourg,2021-01-26,Pfizer/BioNTech,9525,https://data.public.lu/fr/datasets/r/51b3e720-0ca5-4002-9024-3fc8d0708c0d,8280,1245.0
Luxembourg,2021-01-27,Pfizer/BioNTech,10449,https://data.public.lu/fr/datasets/r/f1a34dca-9451-48c5-a8af-6b1d3a525730,9107,1342.0
Luxembourg,2021-01-28,Pfizer/BioNTech,11373,https://data.public.lu/fr/datasets/r/a562f2c6-d8db-4843-8444-0199792bfaac,9890,1483.0
Luxembourg,2021-01-31,Pfizer/BioNTech,12428,https://data.public.lu/fr/datasets/r/a1038784-8446-4f1d-b352-7dfad96dc783,10748,1680.0
Luxembourg,2021-02-01,Pfizer/BioNTech,13241,https://data.public.lu/fr/datasets/r/42db1f50-3af1-4b23-b5bb-015eabbc420d,11336,1905.0
Luxembourg,2021-02-02,Pfizer/BioNTech,14252,https://data.public.lu/fr/datasets/r/fec6d5ff-06a5-448c-932f-27ea2067b055,11925,2327.0
Luxembourg,2021-02-03,Pfizer/BioNTech,15407,https://data.public.lu/fr/datasets/r/1f6f6910-8dc4-4d17-9fbe-03bbc9664591,12597,2810.0
Luxembourg,2021-02-04,Pfizer/BioNTech,16419,https://data.public.lu/fr/datasets/r/2dfec34b-6f58-430b-82b7-8e8f82f3fb24,13256,3163.0
Luxembourg,2021-02-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",17628,https://data.public.lu/fr/datasets/r/7de89657-b952-4451-a38e-edb2df3bf64d,13940,3688.0
Luxembourg,2021-02-08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",18139,https://data.public.lu/fr/datasets/r/c8b18309-8a09-41f0-8384-d49c09fc4164,14089,4050.0
Luxembourg,2021-02-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",18653,https://data.public.lu/fr/datasets/r/477bdb80-811b-4c89-99d2-e1a4f086eff5,14227,4426.0
Luxembourg,2021-02-10,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",19923,https://data.public.lu/fr/datasets/r/145827ea-0831-41e8-a685-aa1093d1b2dc,15052,4871.0
Luxembourg,2021-02-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",21390,https://data.public.lu/fr/datasets/r/534f7db0-f206-4536-8142-00873e5badfb,16131,5259.0
Luxembourg,2021-02-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",22895,https://data.public.lu/fr/datasets/r/9e84c8df-7dec-49aa-b2fb-34bfbd718950,17257,5638.0
