date,total_vaccinations,people_fully_vaccinated,people_vaccinated,location,source_url,vaccine
2021-01-17,11705,0,11705,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-18,13002,0,13002,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-19,14276,0,14276,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-20,15316,0,15316,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-21,16531,0,16531,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-22,17767,0,17767,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-23,18930,0,18930,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-24,19981,1198,18783,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-25,21172,1463,19709,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-26,22371,1694,20677,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-27,23512,2095,21417,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-28,24680,2518,22162,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-29,25822,2969,22853,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-30,26847,3456,23391,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-31,27759,3948,23811,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-01,29002,4476,24526,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-02,30252,4891,25361,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-03,31633,5410,26223,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-04,33477,6457,27020,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-05,35676,7594,28082,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-06,37586,8749,28837,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-07,39257,9918,29339,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-08,41285,11050,30235,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-09,43337,12135,31202,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-10,44598,12928,31670,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-11,46344,13820,32524,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-12,48474,14739,33735,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-13,50175,15601,34574,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-14,51641,16265,35376,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-15,53647,17102,36545,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-16,55709,17843,37866,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
