location,date,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated
Mongolia,2021-02-22,Oxford/AstraZeneca,0,https://thediplomat.com/2021/02/mongolia-starts-its-covid-19-vaccinations/,,
Mongolia,2021-02-25,Oxford/AstraZeneca,3112,https://ikon.mn/n/2527,,
Mongolia,2021-02-26,Oxford/AstraZeneca,4926,https://ikon.mn/n/253p,,
Mongolia,2021-02-27,Oxford/AstraZeneca,6808,https://ikon.mn/n/254x,,
Mongolia,2021-03-02,Oxford/AstraZeneca,9531,https://ikon.mn/n/257c,,
Mongolia,2021-03-04,Oxford/AstraZeneca,13200,https://ikon.mn/n/25ac,,
Mongolia,2021-03-09,Oxford/AstraZeneca,20976,https://ikon.mn/n/25g4,,
Mongolia,2021-03-10,Oxford/AstraZeneca,30446,https://covid19.mohs.mn/p/2021-%D0%BE%D0%BD%D1%8B-03-%D0%B4%D1%83%D0%B3%D0%B0%D0%B0%D1%80-%D1%81%D0%B0%D1%80%D1%8B%D0%BD-11-%D3%A9%D0%B4%D1%80%D0%B8%D0%B9%D0%BD-%D0%BD%D3%A9%D1%85%D1%86%D3%A9%D0%BB-%D0%B1%D0%B0%D0%B9%D0%B4%D0%BB%D1%8B%D0%BD-%D0%BC%D1%8D%D0%B4%D1%8D%D1%8D/1104/,,
Mongolia,2021-03-11,Oxford/AstraZeneca,48265,https://covid19.mohs.mn/p/2021-%D0%BE%D0%BD%D1%8B-03-%D0%B4%D1%83%D0%B3%D0%B0%D0%B0%D1%80-%D1%81%D0%B0%D1%80%D1%8B%D0%BD-11-%D3%A9%D0%B4%D1%80%D0%B8%D0%B9%D0%BD-%D0%BD%D3%A9%D1%85%D1%86%D3%A9%D0%BB-%D0%B1%D0%B0%D0%B9%D0%B4%D0%BB%D1%8B%D0%BD-%D0%BC%D1%8D%D0%B4%D1%8D%D1%8D/1104/,,
Mongolia,2021-03-12,Oxford/AstraZeneca,67489,https://covid19.mohs.mn/p/2021-%D0%BE%D0%BD%D1%8B-03-%D0%B4%D1%83%D0%B3%D0%B0%D0%B0%D1%80-%D1%81%D0%B0%D1%80%D1%8B%D0%BD-12-%D3%A9%D0%B4%D1%80%D0%B8%D0%B9%D0%BD-%D0%BD%D3%A9%D1%85%D1%86%D3%A9%D0%BB-%D0%B1%D0%B0%D0%B9%D0%B4%D0%BB%D1%8B%D0%BD-%D0%BC%D1%8D%D0%B4%D1%8D%D1%8D/1105/,,
Mongolia,2021-03-13,Oxford/AstraZeneca,84017,https://covid19.mohs.mn/p/2021-%D0%BE%D0%BD%D1%8B-03-%D0%B4%D1%83%D0%B3%D0%B0%D0%B0%D1%80-%D1%81%D0%B0%D1%80%D1%8B%D0%BD-11-%D3%A9%D0%B4%D1%80%D0%B8%D0%B9%D0%BD-%D0%BD%D3%A9%D1%85%D1%86%D3%A9%D0%BB-%D0%B1%D0%B0%D0%B9%D0%B4%D0%BB%D1%8B%D0%BD-%D0%BC%D1%8D%D0%B4%D1%8D%D1%8D/1104/,,
Mongolia,2021-03-14,Oxford/AstraZeneca,100000,https://ikon.mn/,,
Mongolia,2021-03-15,Oxford/AstraZeneca,118294,https://ikon.mn/,,
Mongolia,2021-03-16,Oxford/AstraZeneca,126449,https://ikon.mn/,,
Mongolia,2021-03-17,Oxford/AstraZeneca,139636,https://ikon.mn/,,
Mongolia,2021-03-18,Oxford/AstraZeneca,171535,https://ikon.mn/,,
