location,total_vaccinations,people_vaccinated,people_fully_vaccinated,date,source_url,vaccine
Wales,8181.0,8181.0,,2020-12-13,https://coronavirus.data.gov.uk/,Pfizer/BioNTech
Wales,23567.0,23567.0,,2020-12-20,https://coronavirus.data.gov.uk/,Pfizer/BioNTech
Wales,35910.0,35910.0,,2020-12-27,https://coronavirus.data.gov.uk/,Pfizer/BioNTech
Wales,49876.0,49851.0,25.0,2021-01-03,https://coronavirus.data.gov.uk/,Pfizer/BioNTech
Wales,86118.0,86039.0,79.0,2021-01-10,https://coronavirus.data.gov.uk/,"Oxford/AstraZeneca, Pfizer/BioNTech"
Wales,91336.0,91239.0,97.0,2021-01-11,https://coronavirus.data.gov.uk/,"Oxford/AstraZeneca, Pfizer/BioNTech"
Wales,101479.0,101371.0,108.0,2021-01-12,https://coronavirus.data.gov.uk/,"Oxford/AstraZeneca, Pfizer/BioNTech"
Wales,113094.0,112973.0,121.0,2021-01-13,https://coronavirus.data.gov.uk/,"Oxford/AstraZeneca, Pfizer/BioNTech"
Wales,126504.0,126375.0,129.0,2021-01-14,https://coronavirus.data.gov.uk/,"Oxford/AstraZeneca, Pfizer/BioNTech"
Wales,151938.0,151737.0,201.0,2021-01-17,https://coronavirus.data.gov.uk/,"Oxford/AstraZeneca, Pfizer/BioNTech"
Wales,162197.0,161932.0,265.0,2021-01-18,https://coronavirus.data.gov.uk/,"Oxford/AstraZeneca, Pfizer/BioNTech"
Wales,176186.0,175816.0,370.0,2021-01-19,https://coronavirus.data.gov.uk/,"Oxford/AstraZeneca, Pfizer/BioNTech"
Wales,190831.0,190435.0,396.0,2021-01-20,https://coronavirus.data.gov.uk/,"Oxford/AstraZeneca, Pfizer/BioNTech"
Wales,212732.0,212317.0,415.0,2021-01-21,https://coronavirus.data.gov.uk/,"Oxford/AstraZeneca, Pfizer/BioNTech"
Wales,241016.0,240547.0,469.0,2021-01-22,https://coronavirus.data.gov.uk/,"Oxford/AstraZeneca, Pfizer/BioNTech"
