date,total_vaccinations,location,vaccine,source_url,people_vaccinated,people_fully_vaccinated
2021-01-28,0,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",https://2m.ma/fr/news/marocvaccination-anti-covid-19-90000-personnes-vaccinees-en-3-jours-20210131/,,
2021-01-30,90000,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",https://2m.ma/fr/news/marocvaccination-anti-covid-19-90000-personnes-vaccinees-en-3-jours-20210131/,,
2021-01-31,126000,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.mapexpress.ma/actualite/societe-et-regions/covid-19-126-000-personnes-ete-vaccinees-au-maroc-ministere/,,
2021-02-01,200081,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/1.2.21.COVID-19.pdf,,
2021-02-02,257291,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/2.2.21.COVID-19.pdf,,
2021-02-03,308398,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/3.2.21.COVID-19.pdf,,
2021-02-04,351723,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/4.2.21.COVID-19.pdf,,
2021-02-05,408235,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/5.2.21.COVID-19.pdf,,
2021-02-06,463966,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/6.2.21.COVID-19.pdf,,
2021-02-08,550149,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/8.2.21.COVID-19.pdf,,
2021-02-09,615181,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/9.2.21.COVID-19.pdf,,
2021-02-10,746116,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/10.2.21.COVID-19.pdf,,
2021-02-11,855318,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/11.2.21.COVID-19.pdf,,
2021-02-12,1112103,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/12.2.21.COVID-19.pdf,,
2021-02-13,1388539,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/13.2.21.COVID-19.pdf,,
2021-02-15,1707091,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/15.2.21.COVID-19.pdf,,
2021-02-16,1904169,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/16.2.21.COVID-19.pdf,,
2021-02-17,2081013,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/17.2.21.COVID-19.pdf,,
2021-02-18,2233123,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/18.2.21.COVID-19.pdf,,
2021-02-19,2362150,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/19.2.21.COVID-19.pdf,2357283.0,4867.0
2021-02-20,2461192,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/20.2.21.COVID-19.pdf,2447716.0,13476.0
2021-02-22,2575684,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/22.2.21.COVID-19.pdf,2552017.0,23667.0
2021-02-23,2667091,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/23.2.21.COVID-19.pdf,2635859.0,31232.0
2021-02-24,2948945,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/24.2.21.COVID-19.pdf,2911635.0,37310.0
2021-02-25,3204105,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/25.2.21.COVID-19.pdf,3160479.0,43626.0
2021-02-26,3424295,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/26.2.21.COVID-19.pdf,3327858.0,96437.0
2021-02-27,3597903,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/Documents/BULLETIN/27.2.21.COVID-19.pdf,3435997.0,161906.0
2021-03-01,3801650,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/pages/Accueilfr.aspx,3568670.0,232980.0
2021-03-02,3951325,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/pages/Accueilfr.aspx,3657468.0,293857.0
2021-03-03,4105862,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/pages/Accueilfr.aspx,3745173.0,360689.0
2021-03-04,4233129,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/pages/Accueilfr.aspx,3820097.0,413032.0
2021-03-05,4377629,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/pages/Accueilfr.aspx,3877687.0,499942.0
2021-03-06,4492557,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/pages/Accueilfr.aspx,3913615.0,578942.0
2021-03-08,4613292,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing",http://www.covidmaroc.ma/pages/Accueilfr.aspx,3961941.0,651351.0
