Country,Region
Austria,European Union
Belgium,European Union
Bulgaria,European Union
Croatia,European Union
Cyprus,European Union
Czechia,European Union
Denmark,European Union
Estonia,European Union
Finland,European Union
France,European Union
Germany,European Union
Greece,European Union
Hungary,European Union
Ireland,European Union
Italy,European Union
Latvia,European Union
Lithuania,European Union
Luxembourg,European Union
Malta,European Union
Netherlands,European Union
Poland,European Union
Portugal,European Union
Romania,European Union
Slovakia,European Union
Slovenia,European Union
Spain,European Union
Sweden,European Union
